sample_id,variable,class_label,probability,known_label,predicted_label,split
FaDu,Erlotinib,,,0.202366269449161,0.13406065106391907,train
DMS 454,Erlotinib,,,,-0.028970539569854736,train
NCI-H1385,Erlotinib,,,,-0.001199483871459961,train
RCH-ACV,Erlotinib,,,,0.059981249272823334,train
NCI-H520,Erlotinib,,,0.0,0.0,train
SNU-398,Erlotinib,,,0.0,0.006984198000282049,train
Hs 852.T,Erlotinib,,,0.0606494731196107,0.018423181027173996,train
KMS-12-BM,Erlotinib,,,0.0,0.0,train
CCF-STTG1,Erlotinib,,,,2.3072738258633763e-05,train
PANC-1,Erlotinib,,,,0.041502878069877625,train
Hs 618.T,Erlotinib,,,,7.74795189499855e-05,train
OE19,Erlotinib,,,,0.20287832617759705,train
KP-4,Erlotinib,,,0.0227589220206098,0.024919923394918442,train
SNU-719,Erlotinib,,,,0.1470225304365158,train
SK-LU-1,Erlotinib,,,0.0401425137728223,0.04187901318073273,train
RCC10RGB,Erlotinib,,,,-0.027085989713668823,train
59M,Erlotinib,,,,0.04377852380275726,train
NCI-H1373,Erlotinib,,,0.0471664690357,0.034328069537878036,train
NCI-H660,Erlotinib,,,,0.048322200775146484,train
Mel JuSo,Erlotinib,,,,0.020898964256048203,train
A-549,Erlotinib,,,0.0812118077477125,0.06484582275152206,train
KATO III,Erlotinib,,,,0.04691427946090698,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.037264008074998856,train
SNU-878,Erlotinib,,,,0.035469070076942444,train
BHY,Erlotinib,,,,0.1750742346048355,train
GMS-10,Erlotinib,,,0.0190540934281724,0.009161213412880898,train
A2058,Erlotinib,,,0.0203164321242007,0.01710512675344944,train
BxPC-3,Erlotinib,,,0.11221767317599,0.10641766339540482,train
LC-1F,Erlotinib,,,,0.08488913625478745,train
TUHR10TKB,Erlotinib,,,,0.1361168622970581,train
SK-MEL-2,Erlotinib,,,0.0,0.013178925961256027,train
DMS 53,Erlotinib,,,,0.05068850517272949,train
PK-59,Erlotinib,,,0.0396791309079114,0.03592483699321747,train
SK-MEL-5,Erlotinib,,,0.0558275988840162,0.095615454018116,train
SW480,Erlotinib,,,0.020401477901209,0.02435159683227539,train
NCI-H1105,Erlotinib,,,,-0.04473525285720825,train
MES-SA,Erlotinib,,,0.0021052305869831,0.007313847076147795,train
SUIT-2,Erlotinib,,,0.12975502270627,0.13674747943878174,train
OAW28,Erlotinib,,,,0.12606704235076904,train
Hs 274.T,Erlotinib,,,,0.004694938659667969,train
SNG-M,Erlotinib,,,0.0745293031988896,0.043472208082675934,train
RD,Erlotinib,,,0.0021772616522563,0.016380151733756065,train
Hs 944.T,Erlotinib,,,0.0221635619877788,0.042956165969371796,train
P12-Ichikawa,Erlotinib,,,0.0423395601743679,0.048111334443092346,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.06525636464357376,train
LOX-IMVI,Erlotinib,,,0.0215505910373239,0.01536179892718792,train
NOMO-1,Erlotinib,,,,0.03804797679185867,train
OUMS-27,Erlotinib,,,,0.0,train
RT-4,Erlotinib,,,0.16739683663155,0.07512862980365753,train
OAW42,Erlotinib,,,,0.0569220632314682,train
TE 125.T,Erlotinib,,,,-0.10651183128356934,train
RPMI-7951,Erlotinib,,,0.0109625104648995,0.017449192702770233,train
KNS-62,Erlotinib,,,0.0,0.02469717152416706,train
LS123,Erlotinib,,,0.0687453300998243,0.07098983228206635,train
BT-20,Erlotinib,,,0.135831213554948,0.17514927685260773,train
CAL-120,Erlotinib,,,,0.1241704523563385,train
Caov-3,Erlotinib,,,,0.0010952949523925781,train
COR-L88,Erlotinib,,,,-0.053576111793518066,train
NCI-H292,Erlotinib,,,,0.05770295858383179,train
SNU-1214,Erlotinib,,,,0.09047956764698029,train
NCO2,Erlotinib,,,0.105692436087806,0.057277753949165344,train
JHOM-1,Erlotinib,,,,0.08460505306720734,train
HEY A8,Erlotinib,,,0.0154558399513439,0.04638215899467468,train
LS411N,Erlotinib,,,0.0119201349143826,0.0,train
SNU-1105,Erlotinib,,,,0.0004233575309626758,train
SK-N-SH,Erlotinib,,,0.0330358225676597,0.028324859216809273,train
MKN1,Erlotinib,,,,0.006966948509216309,train
Hs 695T,Erlotinib,,,0.0027959688318722,0.0,train
MOLT-4,Erlotinib,,,,-0.028249233961105347,train
SK-LMS-1,Erlotinib,,,0.0986029758746453,0.05355934426188469,train
SU-DHL-6,Erlotinib,,,0.0,0.01495253387838602,train
HCC1569,Erlotinib,,,0.0068813097414282,0.08670758455991745,train
COR-L311,Erlotinib,,,,-0.0859728455543518,train
HCC4006,Erlotinib,,,0.492663395066886,0.19637912511825562,train
COV318,Erlotinib,,,0.0,0.0,train
CADO-ES1,Erlotinib,,,,-0.001106858253479004,train
5637,Erlotinib,,,0.202139462625986,0.1715511828660965,train
RKN,Erlotinib,,,0.0210373946360292,0.01685289293527603,train
SH-SY5Y,Erlotinib,,,,-0.02469642460346222,train
SW403,Erlotinib,,,0.122852776007857,0.1477748453617096,train
C2BBe1,Erlotinib,,,0.159842685884974,0.1623048335313797,train
KOPN-8,Erlotinib,,,,0.0490003377199173,train
SNU-C4,Erlotinib,,,,0.04866534471511841,train
Calu-1,Erlotinib,,,0.0088052462003865,0.027106624096632004,train
EB1,Erlotinib,,,0.0057546626057488,0.0,train
HEC-108,Erlotinib,,,,0.006514042615890503,train
HEL 92.1.7,Erlotinib,,,0.0177813221317003,0.0,train
VCaP,Erlotinib,,,,0.012541085481643677,train
KU-19-19,Erlotinib,,,,0.12257954478263855,train
RCM-1 [Human rectum adenocarcinoma],Erlotinib,,,,0.0287235826253891,train
JL-1,Erlotinib,,,,0.07282751798629761,train
A-498,Erlotinib,,,,0.062196820974349976,train
SNU-1197,Erlotinib,,,,0.07533466815948486,train
TM-31,Erlotinib,,,,0.026269257068634033,train
PSN1,Erlotinib,,,0.0351598954778951,0.028354842215776443,train
U2OS,Erlotinib,,,0.0449365561233068,0.02342664636671543,train
YD-38,Erlotinib,,,,0.05980420112609863,train
HCC2279,Erlotinib,,,,0.09732434153556824,train
SNU-349,Erlotinib,,,,0.049962520599365234,train
NCI-H716,Erlotinib,,,,0.013781405054032803,train
IGROV-1,Erlotinib,,,0.1451892846298,0.11965225636959076,train
BCP-1,Erlotinib,,,,0.002496340312063694,train
NCI-H1437,Erlotinib,,,,0.07308000326156616,train
