target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,TNFRSF17,2.6416853540322726e-05,IntegratedGradients
Erlotinib,0,,rna,SPIB,8.016289242232996e-05,IntegratedGradients
Erlotinib,0,,rna,CD53,0.00030091885873731634,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.00033657827310686045,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.0002041645631954126,IntegratedGradients
Erlotinib,0,,rna,CD19,0.00021358243074214736,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.0003329123200512753,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.00036222893402160916,IntegratedGradients
Erlotinib,0,,rna,MLANA,4.57445775463945e-05,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.00044160621760263685,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.0003069845750584839,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.0007378455453714844,IntegratedGradients
Erlotinib,0,,rna,SPI1,0.00025597313135582373,IntegratedGradients
Erlotinib,0,,rna,GATA1,0.00022335139502235843,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.00031252035843612144,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.0002409382962496124,IntegratedGradients
Erlotinib,0,,rna,MYB,8.956922319660166e-05,IntegratedGradients
Erlotinib,0,,rna,CD52,0.0003046194412305364,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.0008250719223786842,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.0003803663611081637,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.00013698440038882606,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.00013318283059244953,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.00016741838852981367,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.00016137420514692393,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0003233290318214779,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.00045045656437669236,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.0003641971841919757,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.00035514383307812703,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.0005477997123684846,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.0006019880728489078,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.00017152162374664572,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.00021403630416755914,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.0004506622503293299,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.0013526918897547534,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.00048594044793070297,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.00014532861283479025,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.0011240814834863595,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00012178784504997964,IntegratedGradients
Erlotinib,0,,rna,CAV1,6.313919161785406e-05,IntegratedGradients
Erlotinib,0,,rna,ELF3,0.0008743190918493174,IntegratedGradients
Erlotinib,0,,rna,PIM2,0.00017590253472568815,IntegratedGradients
Erlotinib,0,,rna,DDR1,0.00039784471359806406,IntegratedGradients
Erlotinib,0,,rna,SYDE1,0.0001625371019277653,IntegratedGradients
Erlotinib,0,,rna,CYTIP,8.11707928713764e-05,IntegratedGradients
Erlotinib,0,,rna,RND3,0.00025847871954650395,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.00014360730276793843,IntegratedGradients
Erlotinib,0,,rna,GFI1B,0.00030055600016178167,IntegratedGradients
Erlotinib,0,,rna,GPX2,0.00029647848404962783,IntegratedGradients
Erlotinib,0,,rna,DSP,0.0007813907612129077,IntegratedGradients
Erlotinib,0,,rna,RASGRP2,0.0004215840723488696,IntegratedGradients
Erlotinib,0,,rna,PLEK,9.079279425995308e-05,IntegratedGradients
