sample_id,variable,class_label,probability,known_label,predicted_label,split
HK-2 [Human kidney],Erlotinib,,,,0.1276220828294754,train
GCIY,Erlotinib,,,0.165499085189246,0.1696813851594925,train
MDA-MB-231,Erlotinib,,,,0.060237202793359756,train
OVISE,Erlotinib,,,,0.14401289820671082,train
NB4,Erlotinib,,,,0.05864020809531212,train
NCI-H1793,Erlotinib,,,0.142220559643126,0.14396879076957703,train
FTC-133,Erlotinib,,,,0.03275499492883682,train
CAL-120,Erlotinib,,,,0.11787649989128113,train
TCC-PAN2,Erlotinib,,,,0.055624399334192276,train
COLO 668,Erlotinib,,,,0.052367497235536575,train
FTC-238,Erlotinib,,,,0.01950680837035179,train
RPMI-8402,Erlotinib,,,0.0186080498394879,0.020049570128321648,train
SU-DHL-5,Erlotinib,,,,0.005695132073014975,train
EPLC-272H,Erlotinib,,,,0.11337243020534515,train
DMS 114,Erlotinib,,,0.0,-0.0037981863133609295,train
OPM-2,Erlotinib,,,0.0670311385708233,0.026364106684923172,train
KHM-1B,Erlotinib,,,0.049218625041717,0.021974219009280205,train
NCI-H1734,Erlotinib,,,,0.07762393355369568,train
COLO 320,Erlotinib,,,0.0656630100878447,0.04586223512887955,train
Hs 840.T,Erlotinib,,,0.0148024543136501,0.026778867468237877,train
HDQ-P1,Erlotinib,,,0.204718307811704,0.2086963653564453,train
CL-34,Erlotinib,,,,0.05454643443226814,train
SU.86.86,Erlotinib,,,0.0552695916589043,0.06756412982940674,train
Hs 604.T,Erlotinib,,,,0.02755887061357498,train
Hs 616.T,Erlotinib,,,,0.03852187469601631,train
Karpas-299,Erlotinib,,,0.0265723504029587,0.020629409700632095,train
KYSE-450,Erlotinib,,,0.208821358045585,0.12249287962913513,train
MDA-MB-361,Erlotinib,,,,0.03428252413868904,train
A2780,Erlotinib,,,0.0182631271735792,0.007007801439613104,train
HuT 102,Erlotinib,,,,0.06228126958012581,train
Toledo,Erlotinib,,,0.0,0.005714117549359798,train
BICR 18,Erlotinib,,,,0.1196301057934761,train
CPC-N,Erlotinib,,,,-0.007596894167363644,train
1321N1,Erlotinib,,,0.0588349285319097,0.03391597419977188,train
TT,Erlotinib,,,,0.022189166396856308,train
BV-173,Erlotinib,,,,0.05999419838190079,train
UM-UC-3,Erlotinib,,,0.0,-0.0012714042095467448,train
HCC44,Erlotinib,,,0.006897030803354,0.01793046109378338,train
COR-L88,Erlotinib,,,,0.042720478028059006,train
Hs 675.T,Erlotinib,,,,0.026692776009440422,train
JIMT-1,Erlotinib,,,,0.19111725687980652,train
MHH-ES-1,Erlotinib,,,0.0877176325400873,0.07439477741718292,train
L-540,Erlotinib,,,,0.006178089417517185,train
AN3-CA,Erlotinib,,,0.0336364536691071,0.04364969581365585,train
U-87MG ATCC,Erlotinib,,,0.0,-0.0003947964869439602,train
SW1783,Erlotinib,,,,0.015387595631182194,train
KMRC-1,Erlotinib,,,0.149200648806191,0.05202460289001465,train
Hs 229.T,Erlotinib,,,0.0,0.008852722123265266,train
SNU-1272,Erlotinib,,,,0.15025489032268524,train
SNU-503,Erlotinib,,,,0.17475740611553192,train
C32 [Human melanoma],Erlotinib,,,0.0396979745149343,-0.003597394097596407,train
COLO 792,Erlotinib,,,,0.03984057158231735,train
NCI-H716,Erlotinib,,,,-0.0060067931190133095,train
U-178MG,Erlotinib,,,,0.027918696403503418,train
MKN74,Erlotinib,,,0.034472324213695,0.07942334562540054,train
MOTN-1,Erlotinib,,,,0.027288388460874557,train
NCI-H1618,Erlotinib,,,,0.052560895681381226,train
Namalwa,Erlotinib,,,,0.01630406640470028,train
SNU-1079,Erlotinib,,,,0.1537799835205078,train
LN-18,Erlotinib,,,0.0657183372035689,0.046470191329717636,train
OVCAR-4,Erlotinib,,,0.0890468689794294,0.10542353987693787,train
KMS-11,Erlotinib,,,0.0,-0.0012960860040038824,train
KMS-12-BM,Erlotinib,,,0.0,0.006186074111610651,train
SK-MEL-5,Erlotinib,,,0.0558275988840162,0.031088778749108315,train
NCI-H28,Erlotinib,,,0.269475623753143,0.26423078775405884,train
WM88,Erlotinib,,,0.0046589396475744,0.023521000519394875,train
HLC-1,Erlotinib,,,,0.06633845716714859,train
MDA-MB-175-VII,Erlotinib,,,0.157212631566185,0.16651512682437897,train
SK-N-FI,Erlotinib,,,0.0,-0.012244002893567085,train
HSC-2,Erlotinib,,,0.0718212186324384,0.05138448625802994,train
NCI-H1573,Erlotinib,,,0.154964829446517,0.14563369750976562,train
ABC-1,Erlotinib,,,,0.167733296751976,train
NCI-H510A,Erlotinib,,,,0.09099560976028442,train
JHH-5,Erlotinib,,,0.22465609505044,0.21343162655830383,train
SK-MES-1,Erlotinib,,,0.272357387064309,0.2612903118133545,train
LUDLU-1,Erlotinib,,,0.214790275430073,0.1736149787902832,train
NCI-H292,Erlotinib,,,,0.17328891158103943,train
