,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
JHOS-4,-1.0151851,0.62348604,0.84193236,0.26681536,1.5142903,-0.10370311,0.13026707,-0.08203999,0.4312505,0.65709174,-0.6737628,0.02760084,-1.1247011,-0.025743514,0.38062885,0.04220801,-0.45408928,0.72007364,-0.60093665,-1.1934196,0.53355825,0.9826311,0.33961356,-0.61008257,-0.0024601035,-0.044084862,0.28989035,0.22992964,-0.37059063,0.021219112,-0.16077611,0.51154345,-0.68572813,0.62668514,-1.485604,0.12398711,-0.04260324,-0.2396458,-0.5156001,0.38281605,-1.1397003,0.18865068,0.9304729,-0.45378608,-0.67511463,0.3941239,0.07828634,0.20039079,-0.30673155,0.5779375,-1.2256147,-0.56287634,0.04373848,0.8900961,1.1116756,-0.6172292,-0.5389303,-0.7083508,0.8757513,0.45458284,0.16073743,-0.37228352,0.5316593,-0.342982,-2.1186037,0.24284685,-0.18936582,0.71713585,0.7635631,-1.1474754,-0.5647781,0.0683434,0.5903626,0.43369725,1.0970302,-0.47023827,-0.7117875,0.40903327,0.7885344,-0.47926754,0.20183763,-0.7423115,-0.38464615,0.40731984,-0.4731795,-0.15651383,0.057822175,-0.29594603,-0.38706887,-0.73202944,0.22631183,0.64956504,-0.483593,-0.22037129,1.0969887,-1.0257833,-0.06605178,-0.02055838,-0.34056887,0.7582166,-0.39044967,0.67111945,-0.79503334,0.28284127,0.67309815,0.48494348,1.0459405,0.4579787,-0.4332188,0.06933079,0.43010464,-0.028577473,-0.9019647,0.016896073,0.76725274,0.17146283,-0.17546663,0.2896548,0.89012474,-0.1484773,-0.010780901,-0.11409606,0.0064920187,-0.7041431,0.5315104,-0.6508003,-1.0157529,-1.061562
NCI-H2110,-1.2463756,-0.07935372,1.3648295,-0.2335449,-0.6466248,0.31077126,-1.2297289,-0.12619379,0.6041824,0.30833763,-1.6842567,-0.2318763,-0.55480087,0.3308789,-0.063965395,0.3081443,1.7179482,1.6118143,0.9255152,-1.3992314,0.5926198,0.89691263,0.2992162,1.7365963,-1.5950103,-1.1064012,-0.3495638,-0.5458733,-1.3474729,0.16960037,-1.4886259,0.531187,-0.5945985,1.5864089,0.86505705,-0.82553756,-1.344054,-0.27312368,-0.38349968,-0.31829616,-1.4361738,-1.0734699,1.9639227,-0.8626148,-2.2515326,0.5955844,0.9445979,0.352638,-0.5952256,2.6966004,-0.9515521,-0.26932707,-0.08690977,0.23821735,1.0271908,-0.18202072,0.621926,-2.0961006,0.942657,1.0533743,0.12296075,0.6404751,1.4287587,-0.96190053,0.20110667,0.37383786,-0.24524345,0.83604586,1.0125865,-2.4270415,-1.7172005,-0.13233006,-0.45088714,0.49639577,2.0586138,-0.3714583,-1.4750037,1.9704525,1.3326628,-1.898266,1.6403751,-0.51369447,-0.44640443,-1.4907442,-0.9401491,0.1574358,0.27599677,-1.268995,-0.7280767,-1.2993447,0.36921492,0.9242885,0.40283152,0.02191028,1.4687456,-0.74674046,-0.05313024,-0.681877,0.06789317,1.5999572,1.7875181,0.77055556,-1.0606171,-0.026669234,0.5040443,-0.12963703,0.876843,-0.8251643,-0.14392236,0.99096334,0.8427008,-0.5525435,-0.95096207,-0.75118,1.9005142,-0.57150793,0.044503458,0.9823278,1.7457117,-0.25376672,-0.9451398,0.51904684,0.25619352,-0.5821342,1.649233,0.8165039,-1.707581,-1.4634818
MOLM-16,-0.508637,0.18990022,0.98015773,0.5791164,1.9074916,0.24014583,0.06691134,-0.0881845,0.59630704,0.17884997,0.6133982,0.25323778,-0.94605225,0.1287294,0.36837578,0.23361352,0.014901502,0.8748538,-0.17350063,-1.1928251,0.53534025,1.2139503,0.09404117,-1.0453484,-0.003126707,-0.5915098,0.5201611,0.08450152,-0.5103334,0.006738562,0.06240955,0.5073249,-0.8379756,1.1786017,-0.5554353,-0.52548975,-0.48363653,-0.26854995,-0.5147416,0.4803779,-1.0227728,0.20127967,0.7814132,-0.45009238,-0.5740305,0.6818185,0.088899985,-0.25997472,-0.41433048,0.6024455,-0.9393381,-0.36901447,-0.02548743,0.5496522,1.3871329,-0.6172236,-0.18757224,-0.23092887,0.4823947,0.2803437,0.7763785,-0.43042234,0.57272726,-0.47642663,0.119276896,0.25233042,-0.017124861,0.58232397,0.74791086,-1.054577,-1.3815589,0.83679605,0.51132524,0.5860067,1.2449783,-0.477368,-1.649599,-0.08778867,0.7863447,-0.48380095,-0.045713034,-0.123752326,-0.39769182,-0.7988646,-0.47717372,-0.0015832111,0.08380628,-0.23386393,-0.72196543,-0.5143249,0.07532552,0.68563354,-0.43386367,-0.29039067,1.1803112,-0.42204663,0.01999481,0.04818314,-0.42012534,0.57921004,0.4009621,0.675647,-0.9349746,-0.0071562976,0.91460973,-0.061589293,1.2817122,0.25481373,-0.4839135,0.042901304,0.65731823,-0.25743604,-0.8830128,-0.018071812,0.50486636,0.18617435,0.15849568,0.29562733,0.8489781,-0.1499217,-0.02868592,-0.3133448,0.35643822,-0.6437738,0.6425339,-0.3117084,-1.521725,-0.6352581
LMSU,-0.5526856,0.505688,0.8846252,0.93631935,-0.009052873,0.14969665,-0.35671216,-0.117440015,0.9183774,0.13427535,1.0625982,0.13940862,-1.2002089,-0.032753564,0.3494295,0.20776981,-0.7470398,0.6380551,-0.7216188,-1.2142544,0.5499944,0.2705634,-0.35183725,-0.14463016,-0.0028243028,-0.11407767,0.44696257,0.2585515,-0.39390662,-0.11002311,-0.18940067,0.5112833,-0.79278535,0.7598866,-0.73407507,-0.106663,-0.11159136,-0.2512701,-0.53680676,0.52065575,-0.98493445,0.14757043,0.86174095,-0.40385306,-0.8178529,0.6372119,0.07709991,-0.50124544,-0.3835404,0.6117056,-1.0763404,0.14429039,-0.016206227,1.3321946,0.93970907,-0.6166124,-0.20487088,-0.570729,0.780241,0.2102116,0.056214005,-0.3522326,0.5459744,-0.3619719,-0.13030162,0.32089126,-0.034349427,0.8135474,0.60105383,-1.028616,-0.954477,0.46699622,0.8365874,0.46827456,1.3102698,-0.42796654,-0.36384606,0.021855399,0.8099759,-0.43939668,-0.08385189,-0.7996069,-0.63993925,0.14363524,-0.5357278,0.33702168,0.07528684,-0.28362,-0.7250243,-0.61549413,-0.010118365,0.6298779,-0.8177516,-0.3486632,1.030398,-0.22734052,-0.090671025,0.24108836,-0.46438184,0.69259095,0.032412745,0.66888636,-0.43946978,0.11029789,1.2458397,-0.33155906,0.68822676,0.241587,-0.46345556,0.033919416,-2.3271387,-0.19694504,-0.95537895,-0.05964641,0.41031963,0.32104605,0.61100614,0.30528405,0.804619,-0.17263411,-0.18134117,-0.16451553,0.29156864,-0.6550201,0.5830899,-0.5109993,-1.1105258,-0.71589625
HMC-1-8,-1.2962441,0.6626699,0.7696861,-0.41897094,0.16541392,0.037889145,0.6400782,-0.57703614,0.7658295,0.05567205,-0.45151937,-0.009649092,0.09265511,0.16225746,0.92690885,0.052497115,-0.47798634,1.0859004,0.24782524,-1.3961084,0.39807174,0.010195687,0.3353995,0.3210082,-0.2549279,-0.7998373,0.9242259,-0.29316536,0.40671775,-0.11298531,-0.042650096,0.92225564,0.28328347,0.53012097,-0.03130707,-0.36563027,-0.11550313,-0.47096297,-0.71461797,1.1066107,-0.7302744,0.071869545,0.12990656,-0.013609253,-0.96556735,1.4241039,0.14933676,0.17076284,-0.30044562,0.19454631,-0.6728163,-0.71962845,0.003295239,0.89594984,0.39904886,-0.022290356,-0.029917061,0.03656122,0.1168766,0.7871953,0.59379154,-0.13141169,0.7947507,-0.5162441,0.43681902,0.2770261,-0.4548231,0.11148633,0.8800018,-0.9726693,-0.18312743,0.580306,0.8463741,0.89175856,-1.3250456,-0.1602961,-1.0382018,-0.96160555,1.2978094,0.07540081,0.65894836,-0.7413809,-1.1721995,-0.85973895,0.34040082,0.6841136,0.18162832,-0.8298805,1.0991521,-0.101044714,-0.16485459,0.0969036,0.14308596,-0.07382028,1.4870448,1.5550386,0.21896072,-0.90427214,1.0159338,0.49532607,0.29391336,1.7797592,-0.3341714,0.38628954,0.5748966,-0.09776747,0.21728124,-0.32484415,0.013764776,-0.29837286,-1.0162672,0.020101815,-0.546173,-0.2753501,0.34034985,-0.30125684,1.4492197,1.0135901,0.025771718,-0.24118736,-0.07044208,-0.7091452,0.15536831,-1.0204991,1.445894,0.9204364,-0.050396305,-0.22622126
DMS 114,-1.2339734,0.22906637,0.5832317,0.71458566,-0.3756398,0.6193135,-0.47977066,0.053022362,0.9962882,0.070539385,0.19232883,0.16721001,-1.0060726,0.08475539,0.40480247,0.27798778,-0.2218067,1.0429198,-0.57184243,-1.2052301,0.4319264,0.8666709,-0.27017415,-1.746125,-0.01582338,-0.14183,0.13551751,0.21005525,-1.2144657,-0.042874116,-0.12219818,0.5013772,-0.7403154,0.4774298,-0.28284213,-0.065402284,-0.046020314,-0.32642993,-0.50159657,0.5122413,-0.9484102,0.105331495,0.5692076,-0.42550623,-0.6899942,0.5038925,0.07400881,-0.86657846,-0.2302687,0.58109856,-1.0316212,-0.21391012,0.049226593,0.24711102,0.22415394,-0.6175498,-0.13954034,-0.62725157,0.25582132,0.29770827,0.6426531,-0.34080374,0.532254,-0.30047005,1.3870655,-0.0043441057,-0.1147559,0.5213989,0.71806943,-1.2299179,-1.0211195,0.4441889,0.56641537,0.50816125,1.3916054,-0.4528674,-1.1370016,-0.25258255,0.80551,-0.46835783,-0.15226911,-0.4626784,-0.41239953,-0.14192829,-0.4873555,-0.23450524,0.08871221,-0.22526751,-0.30458173,-0.5719978,0.32927155,0.71761185,-0.89800197,-0.17788455,0.9949371,-0.26154897,0.0915981,-0.00812601,-0.4406815,0.99285567,0.6446595,0.67561334,-0.69999397,0.025089622,0.85973233,0.07053803,0.7719488,0.041011184,-0.46665725,0.06894034,-0.64101005,-0.3630168,-0.8691197,-0.060536407,0.7394031,0.26080203,0.19855629,0.3001903,0.84572345,-0.18823914,-0.18403527,0.05520481,-0.026005536,-0.76976144,0.5710527,-0.18238586,-1.6374605,-0.75956494
NCI-H841,-0.8208454,1.4249738,0.6581936,0.1384892,-0.48865893,0.2921607,2.0037446,0.57374823,-0.6894431,0.1731562,-1.8402524,-0.22732747,0.94502723,-0.8509619,1.4685664,0.14440519,-0.13062264,1.6187577,-0.36838567,-1.1523628,0.8800392,1.1261033,0.10227892,0.010929763,-0.42002124,-1.0509577,-0.19327688,-1.0548959,1.5040233,0.16604793,-0.7075768,1.1029962,1.336948,2.8734233,0.95922303,-1.785059,0.28414622,0.4050857,-0.80542004,-0.56985074,-1.1952106,-0.78095293,0.8088764,-0.5114239,-2.0121157,1.9694909,-0.8589858,1.7871189,-1.1013058,0.6460543,0.038089518,-1.1989081,0.73369104,-0.3086754,0.998011,1.5327413,-0.04400801,-0.0434554,0.38955757,0.9882466,1.3119535,-0.3139914,0.64146996,0.17258275,1.4748682,2.001895,-0.9389014,1.4421192,1.8048446,-1.9453323,0.09118138,2.5934513,1.6808604,-0.13825963,-3.3352807,-1.2754937,-0.58243215,-0.514233,1.933604,-0.4328259,1.3704042,-2.2183862,-0.94569945,0.9645945,1.0280851,1.3623369,1.1167983,0.9555142,-0.5797311,-1.8012773,-1.976704,0.22016312,1.7336832,-0.69520116,2.3014946,2.0970604,-0.7153491,-0.87066793,1.7084421,0.3940395,0.51054883,2.4947727,0.5916574,0.54171246,0.66091204,0.7317016,-0.9028859,-1.0373147,0.3813966,-0.29436943,-2.164412,0.29587942,-0.62487805,-0.44094956,-1.3022019,0.45908844,2.2831607,0.40376574,-1.3575119,-0.43341538,-0.025064066,0.18715738,-0.81175935,-1.2594317,0.90017855,2.3192198,-0.11379085,-0.7391161
MOR/CPR,0.18238169,0.5501591,0.85527325,-1.2140642,-0.08991399,1.970634,-1.1328218,0.56617546,-0.21679032,1.2710782,-1.5821203,1.431569,2.8619797,-0.4950471,0.1471313,-0.041115552,-0.9673103,0.03936541,0.26299846,-0.34752047,-0.972013,1.1426643,-1.131094,1.219684,1.1076266,1.3416402,-1.6511736,0.44175676,2.17158,0.57736015,-4.3722134,0.629052,2.7939177,2.6056964,5.6643057,-0.81149465,0.22325604,1.8521637,-0.71422005,-1.0837846,-1.3060309,0.72446364,-1.2109367,0.18895137,1.0693065,1.5939544,-1.8175924,0.5971799,-1.6240072,2.0079813,-0.38220996,0.7964997,-1.0251038,-3.426037,1.1930957,-0.76233995,2.521302,-2.8090708,-1.2791246,0.03333255,-0.571317,-1.0550256,-2.8194206,2.855579,-1.7370634,-0.91152394,-0.68383783,-0.5491819,0.8979092,-0.5809286,0.5320993,0.51336175,-2.478129,0.15746772,-2.1305804,0.15511908,0.6843397,-1.2192032,0.95650846,-0.073719054,2.175279,-3.9715376,-1.8655118,-0.7984868,2.7090948,-0.25436518,0.30044648,-2.117119,-1.1326512,-3.0694973,-1.2164062,-1.7956294,2.5626478,-0.26738936,2.4574034,1.9260333,-0.9547775,1.5947986,1.9897892,-2.1894245,3.6091716,1.7524326,-2.473006,-0.6447536,2.2485604,-1.391746,-1.409592,-1.5913967,-0.9780091,-2.8290267,-0.86976576,0.949436,-0.59681,2.7582786,-1.9083186,2.2872114,-0.8572287,-1.2330984,-0.50707954,-0.74590635,-2.7159216,1.317166,-1.403157,0.39775074,2.2481272,0.39928776,-1.1081482,-1.263848
MV4-11,0.03647493,-0.2637886,0.41066435,0.7502572,1.251576,0.50621295,0.50223804,-0.332131,-0.32450265,0.5926702,-1.1632968,0.9011173,0.75169635,0.2807763,-0.15505035,0.25336805,0.5241339,0.050290544,-0.6461822,-1.3193104,-0.09037746,-0.10399096,-0.003731683,-0.33587706,-0.7431861,0.2692543,-0.8514873,0.23631868,-0.08598873,0.16714062,0.51378804,0.5156798,-0.8759647,0.11053413,0.3081532,0.05783178,0.11482474,-0.37661606,-0.11065219,0.16208783,-0.5947897,-0.31156406,0.84728664,0.37548766,-1.2850795,-0.12511936,0.54346985,-0.5049729,0.35564473,0.8856574,-0.48500982,0.118414044,-0.66475314,0.24070573,0.52366245,-0.3753593,-0.8335783,-0.74743927,0.21740395,0.38986322,-0.48920324,0.2270178,0.6487035,-0.45028,1.7816393,0.4640172,-0.23124656,0.20736597,-0.03980454,-0.23179227,-1.5502403,0.056876235,-0.65986466,0.79390574,0.882426,-0.9197813,-0.34674877,0.43889818,0.37932196,-0.16181189,-0.06850477,-1.2360168,-0.20435762,0.83606756,-0.31221837,-0.38293612,-0.38808578,-0.54168916,-0.398955,-0.12211715,1.1133636,-0.87221897,-0.15823287,-0.29419696,0.59837973,-0.99947697,-0.88619196,0.06852682,0.4762118,-0.5082109,2.2662206,-0.28029105,-0.5824036,-0.82512754,0.22455287,-1.1079344,0.35687798,0.38233373,-0.123758584,0.34792778,-0.81500566,-0.2606697,-0.791335,-0.0022426327,-0.20916753,0.1610855,0.38372695,0.69873416,0.2067776,-0.049255006,0.08156057,0.6535513,-0.75409114,-0.3370862,1.0933834,0.23901811,-0.4570413,-0.6161979
CAL-12T,2.1160436,0.9740224,-0.45199323,1.3143424,-0.73128176,0.22776091,2.3974812,1.023152,-2.3264532,1.3015118,-3.7069502,0.63854504,4.702471,-1.336279,-0.040721208,0.6305001,-0.57266504,0.1126461,-1.3568009,-1.0829568,0.5281166,0.76189035,-1.0772862,-0.6660674,1.1891941,0.59194446,-2.0472624,-0.1766823,2.8318715,0.35169756,-0.4835206,0.24351412,3.8646061,2.8572927,2.9987361,0.6799736,1.3548018,2.3664675,-0.7313354,-1.1726228,0.6109157,-1.3334136,-0.7085661,0.7003464,-0.0652035,1.2973139,-1.9274695,3.2758412,-0.9127841,-0.39011937,0.883528,-1.0710027,0.9923589,-3.6766648,-3.049503,2.413759,-0.5488111,-0.12311636,-1.249342,0.16861206,-0.2566049,-0.56126356,-1.1559358,2.6110446,-1.0054227,0.9734836,-1.1520231,0.83620906,1.1523436,0.66830504,0.4353216,2.2212586,0.12959927,0.3622839,-4.109083,-0.56978077,1.72903,-2.3813643,1.9837624,1.4883099,0.9550857,-5.2378473,-1.370259,1.0720196,2.4799051,-0.4422229,1.1312574,1.7242017,-0.8315765,-1.4078865,-2.371074,-2.747515,3.2327917,-1.3109447,1.6288787,2.7377234,-2.026694,1.0928583,3.1661956,-3.5625687,2.258627,1.8220599,0.7776872,-0.39019737,1.6908857,-0.021504194,-3.1113205,-1.0384325,0.7367379,-1.1677982,-2.1743119,1.739952,-0.8271771,0.655957,-3.6702201,1.981683,0.8711013,-0.8678504,-3.4351602,-0.004571557,-0.08634116,0.29876304,-3.1499493,-0.88493997,0.4377476,1.9026759,1.4071562,-1.014613
