feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0014801189379091086,True
AATK,,,,0.017600075050740866,False
ABCA3,,,,0.007020526073569743,True
ABCC3,,,,0.009323649472852523,True
ABCC4,,,,0.0024270168216971523,True
ABI1,,,,0.02896426615150119,False
ABL1,,,,0.010467831953587359,True
ABL2,,,,0.015050371445041141,False
ACACA,,,,0.0015257900284556822,True
ACACB,,,,0.0008956764831793063,True
ACOXL,,,,0.009576636124867704,True
ACSL6,,,,0.01127392856964202,True
ACVR1,,,,0.028462091234204432,False
ACVR1B,,,,0.01256648244979732,False
ACVR1C,,,,0.029263479871640952,False
ACVR2A,,,,0.015518187042811224,False
ACVR2B,,,,0.04043844130265663,False
ACVRL1,,,,0.011223358127848816,True
ADAM10,,,,0.02719856897452596,False
ADAM12,,,,0.002357474195998389,True
ADAM17,,,,0.019492033259714946,False
ADAM18,,,,0.020382377455786242,False
ADAM22,,,,0.016373333850740347,False
ADAM28,,,,0.014307105054976073,False
ADAM29,,,,0.010810003813154785,True
ADAM32,,,,0.024698880073643438,False
ADAMTS18,,,,5.894554905935606e-05,True
ADAMTS19,,,,0.00926287044334573,True
ADAMTS2,,,,0.017770113266538736,False
ADAMTS20,,,,0.008977931260360698,True
ADAMTSL3,,,,0.0011629377440524017,True
ADARB2,,,,0.036845082312134736,False
ADCK1,,,,0.022485882048541045,False
ADCK2,,,,0.036714068944048266,False
ADCK4,,,,0.004966081526272901,True
ADCK5,,,,0.015766516725322973,False
ADHFE1,,,,0.02454712526532549,False
ADK,,,,0.051421389203213104,False
ADRBK1,,,,0.012163319209170414,True
ADRBK2,,,,0.022854511810798193,False
AFF1,,,,0.030988898677635292,False
AFF3,,,,0.0042457793831484104,True
AFF4,,,,0.0087856535830428,True
AGAP2,,,,0.013813966100206299,False
AIFM1,,,,0.043524776505756424,False
AIFM3,,,,0.04598069553910269,False
AIM1,,,,0.022164428406385796,False
AKAP12,,,,-0.008147109863692187,True
AKAP4,,,,0.024649832294906818,False
AKAP6,,,,6.80838921323577e-05,True
AKAP9,,,,0.0074385644284033275,True
AKT1,,,,0.014885639347253033,False
AKT2,1.0,,False,0.015924946571384876,False
AKT3,,,,0.032795399780774226,False
ALDH7A1,,,,0.0409377154191493,False
ALK,0.0,0.0042312608436076305,True,0.014109444936026932,False
ALPK1,,,,0.023326472761844665,False
ALPK2,,,,0.010324314164438889,True
ALPK3,,,,0.033430023021090584,False
ALS2,,,,0.007148155350010259,True
AMHR2,,,,0.009898942004986037,True
AMZ2,,,,0.059503380248936914,False
ANAPC5,,,,0.024191555183601946,False
ANGPTL4,,,,0.02037768559814482,False
ANKK1,,,,0.02527151917419565,False
APAF1,,,,0.0407189034225395,False
APBB1IP,,,,0.02748176925121213,False
APC,0.0,0.04584266601488154,True,0.003789697241373051,True
AR,,,,0.017785588867590102,False
ARAF,,,,0.01647319352379949,False
ARFGEF1,,,,0.0184331015402967,False
ARHGAP26,,,,0.013176450119032002,False
ARHGAP29,,,,0.022595438449844057,False
ARHGDIB,,,,0.04462946486319541,False
ARHGEF10,,,,0.00507886150579047,True
ARHGEF12,,,,0.016433803233040774,False
ARHGEF7,,,,0.033517679372498145,False
ARID1A,,,,0.0072960405150442435,True
ARNT,,,,0.018579445581804677,False
ASH2L,,,,0.04386088743882603,False
ASPH,,,,0.012188511236416039,True
ASPSCR1,,,,0.01397202182258284,False
ASTN1,,,,0.013384284824108047,False
ATF1,,,,0.04668503798751563,False
ATF2,,,,0.011816122281545454,True
ATIC,,,,0.01133704094510284,True
ATM,,,,0.0059610549203371445,True
ATP10A,,,,0.010283017732087322,True
ATP11A,,,,0.013844648666978205,False
ATP13A5,,,,0.013978756543824297,False
ATP5S,,,,4.129419622337477e-06,True
ATP8B1,,,,0.01781381792283045,False
ATR,,,,0.0076196910444643684,True
ATRX,,,,0.012618897954550706,False
AURKA,,,,0.012833089778477882,False
AURKB,,,,0.03708766370893653,False
AURKC,,,,0.05833844807697212,False
AXIN1,,,,0.02369147465755892,False
AXIN2,,,,0.021703227111821762,False
AXL,,,,0.021676592798407453,False
B3GALT6,,,,0.029078145886018262,False
BAD,,,,0.0669801712417036,False
BAG4,,,,0.01530270644214277,False
BAI1,,,,0.018274275973300915,False
BAI3,,,,0.014009202397711609,False
BAK1,,,,0.0002596113113913465,True
BAP1,,,,0.007998995523684367,True
BAT3,,,,0.008150632390134045,True
BAX,,,,0.017444687351373004,False
BCAR1,,,,0.04388519276898276,False
BCKDK,,,,0.03837276238328611,False
BCL10,,,,0.02946212179407424,False
BCL11A,,,,0.007353407652835765,True
BCL11B,,,,0.01632955087022593,False
BCL2,,,,2.1223465107704836e-05,True
BCL2A1,,,,0.10038403471310346,False
BCL2L1,,,,0.0269718726927237,False
BCL2L11,,,,0.03717282905259158,False
BCL2L2,,,,4.340111306501727e-06,True
BCL3,,,,0.031422278027644183,False
BCL6,,,,0.012792610838292803,False
BCL7A,,,,8.586610343012518e-06,True
BCL9,,,,0.012878070806205875,False
BCR,,,,0.024507182158499834,False
BGLAP,,,,4.243554046110766e-06,True
BID,,,,0.00026563158650909564,True
BIK,,,,0.02866687546472266,False
BIRC2,,,,0.012374697553162162,False
BIRC3,,,,0.031085878195652266,False
BIRC5,,,,0.040628054756068656,False
BIRC6,,,,0.015774433248438174,False
BLK,,,,0.028693057653377638,False
BLM,,,,0.008635912892586806,True
BLNK,,,,0.03712332623662069,False
BMF,,,,0.04506749531287395,False
BMI1,,,,0.03160918264764104,False
BMP2K,,,,0.020694085181083195,False
BMP4,,,,0.0393713643727836,False
BMPR1A,,,,0.005987759163595307,True
BMPR1B,,,,0.02975452839423494,False
BMPR2,,,,0.01295915909530722,False
BMX,,,,0.0010213912198049602,True
BNIP3,,,,0.08647425192076064,False
BOK,,,,4.243554046110766e-06,True
BRAF,0.0,0.0801174815984229,True,0.005177495110765278,True
BRCA1,0.0,0.0028248474382039576,True,0.018367797373258398,False
BRCA2,0.0,0.008426459805025422,True,0.007132730978072742,True
BRCC3,,,,0.04043640683120197,False
BRD2,,,,0.01611868190740258,False
BRD3,,,,0.024936129737668115,False
BRD4,,,,0.027924763144393763,False
BRDT,,,,0.029048745474136623,False
BRF2,,,,0.15052885683243913,False
BRIP1,,,,0.00932762197990843,True
BRSK1,,,,0.035294773430709026,False
BRSK2,,,,0.03530320418062106,False
BTG1,,,,0.03358419026477111,False
BTK,,,,0.02877421584476538,False
BTRC,,,,0.03172574014761996,False
BUB1,,,,0.030243202780924794,False
BUB1B,,,,0.017987533195540688,False
C15orf2,,,,0.00911525995081851,True
C15orf55,,,,0.02061964362513753,False
C17orf37,,,,0.10020425081704684,False
C6orf97,,,,0.037495224515857996,False
C9orf96,,,,0.018159114961366813,False
CABC1,,,,0.01891808593519272,False
CACNA1F,,,,0.017724882954354763,False
CACNB2,,,,0.022377794192194444,False
CAD,,,,0.015327106356374909,False
CAMK1,,,,0.016203350382537913,False
CAMK1D,,,,0.04373072191213082,False
CAMK1G,,,,0.0005793597460771353,True
CAMK2A,,,,0.00034277409335981045,True
CAMK2B,,,,0.04071215129390669,False
CAMK2D,,,,0.04050532216597349,False
CAMK2G,,,,0.0007084137548147312,True
CAMK4,,,,0.021550283534087993,False
CAMKK1,,,,0.057922222576555354,False
CAMKK2,,,,0.03630895621059935,False
CAMKV,,,,0.022084303278434112,False
CARD10,,,,0.007076756299182509,True
CARD11,,,,0.020962090522309615,False
CARD14,,,,0.010708110420262592,True
CARD9,,,,0.020144317734963096,False
CARS,,,,0.0073602203515870405,True
CASC5,,,,0.0014817859327539197,True
CASK,,,,0.016649374717513085,False
CASP1,,,,0.04086530797627942,False
CASP10,,,,0.03167016270228096,False
CASP2,,,,0.011444620779339939,True
CASP3,,,,0.0003830269231918736,True
CASP4,,,,0.019367330490544635,False
CASP6,,,,0.0287545981344094,False
CASP7,,,,0.015118282434782918,False
CASP8,,,,0.024906493787410118,False
CASP9,,,,0.0010256110683273902,True
CATSPERB,,,,0.011495226534425189,True
CBFA2T3,,,,0.02164538196173976,False
CBFB,,,,0.05015151693275213,False
CBL,,,,0.03390380939522123,False
CCDC50,,,,0.04514846363982463,False
CCDC56,,,,0.00014001645081649272,True
CCDC6,,,,-0.0015911323522684567,True
CCL3,,,,4.129419622337476e-06,True
CCL4,,,,0.0001441953257923658,True
CCNA1,,,,0.033304983036333106,False
CCNA2,,,,0.03389651804898089,False
CCNB1,,,,0.028985225289035906,False
CCNB1IP1,,,,0.005732225888070747,True
CCND1,1.0,,False,0.05742561360538669,False
CCND2,1.0,,False,0.02934589292233492,False
