sample_id,variable,class_label,probability,known_label,predicted_label,split
JHOS-4,Erlotinib,,,0.12377795580422,0.06166823208332062,train
NCI-H2110,Erlotinib,,,,0.0611891895532608,train
MOLM-16,Erlotinib,,,,0.06472206860780716,train
LMSU,Erlotinib,,,,0.06794777512550354,train
HMC-1-8,Erlotinib,,,0.0194228408584924,0.044405825436115265,train
DMS 114,Erlotinib,,,0.0,0.058483876287937164,train
NCI-H841,Erlotinib,,,,0.0736193060874939,train
MOR/CPR,Erlotinib,,,0.0502375665599399,0.051497526466846466,train
MV4-11,Erlotinib,,,,0.057353656738996506,train
CAL-12T,Erlotinib,,,0.282588685784174,0.0692301094532013,train
HuNS1,Erlotinib,,,,0.08413958549499512,train
LS123,Erlotinib,,,0.0687453300998243,0.04359744116663933,train
MSTO-211H,Erlotinib,,,0.0468232661050798,0.07380460947751999,train
SNU-46,Erlotinib,,,,0.046980343759059906,train
COLO 741,Erlotinib,,,0.105133052270533,0.04951143264770508,train
KYSE-150,Erlotinib,,,0.0819979299467457,0.06987299025058746,train
HEL,Erlotinib,,,,0.04123366251587868,train
Hs 611.T,Erlotinib,,,,0.06435748934745789,train
DFCI024,Erlotinib,,,,0.06565384566783905,train
F-36P,Erlotinib,,,0.0167801670068449,0.059357888996601105,train
SUP-T11,Erlotinib,,,,0.06391814351081848,train
LN-308,Erlotinib,,,,0.06476711481809616,train
G-361,Erlotinib,,,0.078325331356097,0.05310452729463577,train
CAL-120,Erlotinib,,,,0.05185724422335625,train
Mono-Mac-1,Erlotinib,,,0.127921804524056,0.060176998376846313,train
A4/Fukuda,Erlotinib,,,,0.06798084825277328,train
NCI-H1651,Erlotinib,,,0.0427770897570794,0.03385947272181511,train
SNU-324,Erlotinib,,,,0.06933006644248962,train
MDA-MB-415,Erlotinib,,,0.0159285291185951,0.016441142186522484,train
NCI-H1563,Erlotinib,,,0.0216638206811162,0.02698594145476818,train
GaMG,Erlotinib,,,0.0362778026582661,0.07167644798755646,train
COR-L51,Erlotinib,,,,0.06292693316936493,train
SW900,Erlotinib,,,0.0325738478208323,0.04393911734223366,train
CMK-86,Erlotinib,,,0.0731526974712473,0.05925602838397026,train
CAL-27,Erlotinib,,,0.331155066635375,0.07556825131177902,train
BCP-1,Erlotinib,,,,0.04691431671380997,train
A-549,Erlotinib,,,0.0812118077477125,0.06399703025817871,train
