,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
PE/CA-PJ49,0.24654911,-0.5465382,-0.1087255,-0.4837069,0.10650452,-0.021434858,-0.2532902,-0.05147661,0.56827044,-0.40470278,-0.0199224,0.09288933,-0.05159058,-0.16820946,0.26785457,0.31900683
UACC-62,-2.1773531,1.4232697,-1.0386277,1.0728447,0.390421,1.6643676,0.91537553,-0.6294927,-0.044431984,0.6225495,-1.085616,-0.9521782,0.7409992,0.5433022,0.8503648,1.4297688
HEC-59,-0.22390205,2.8779883,2.3654115,2.5782013,-1.8922768,-3.1291206,3.2369118,3.271271,-3.7995934,2.5461922,-0.4559409,1.3291129,-0.30573586,2.0000172,-0.7988024,-1.3767544
MOLM-16,-0.87317324,0.21898021,0.45122102,-0.09157947,0.29041824,-0.021293508,-0.6709526,0.08787428,0.16192491,-0.2722037,-0.0672798,0.40534496,-0.43584445,-0.31879556,0.35053134,-0.337314
KYSE-510,2.2319217,1.997486,-0.72748053,-0.08298978,-0.5895292,2.2436187,0.35818532,-3.1364586,-0.6367852,0.5458718,2.7512708,-1.3557332,0.9075036,-1.590316,-2.3174136,-3.5089386
JMSU-1,1.3806047,-0.7043145,-1.388275,-0.11340929,0.3165805,0.9134198,0.56270236,-0.7863904,0.5026723,0.050744843,0.1257104,-1.2915664,1.0974319,0.52585775,-0.55736285,0.9864459
K-562,-0.87220806,0.24768728,0.4600519,-0.07607379,0.014691055,-0.103617765,-0.5831668,0.09884951,0.13380894,-0.2744754,0.05946961,0.46262193,-0.55470103,-0.35164192,0.4861917,-0.21205577
NCI-H2023,3.1056266,-1.7153922,-0.9177174,-0.7429321,-0.039420284,-0.32285637,0.38900784,0.5189453,0.29982126,-0.6311064,0.88665307,-1.4174143,0.5899024,0.8730487,-1.0641296,0.2943612
COLO 205,0.5131875,0.2680769,-1.9706506,-0.62590224,-0.8040866,2.3309314,0.9427989,-0.19565132,1.0576317,-0.52585137,0.31143308,-2.5076702,2.3208036,2.6509366,0.1551027,1.4956067
SUIT-2,-0.68194675,0.37807512,0.3257787,0.56874853,0.51363945,-0.0060678106,-0.20896842,0.9511226,-0.8429828,-0.18827409,0.4345204,-1.1222249,-0.21578483,0.35089278,0.4476855,-0.44419953
KP-N-SI9s,0.99947405,-1.1918967,-0.4602621,0.21790099,0.62000585,-0.6403756,0.2541158,-0.6557706,0.28050202,0.35562402,-0.7389121,0.8390281,0.03806364,-0.90297216,-0.84136057,1.0689514
SW1417,-1.2242204,1.4476672,-1.7288558,0.5532761,-0.16017476,2.6572363,0.9489589,-1.109576,0.42669487,0.19953421,-0.20812912,-2.1081264,1.553812,1.1555368,0.7345516,0.9694171
SK-CO-1,3.8213367,-2.6875267,-2.111516,-1.1703446,-0.48957235,0.10819109,1.6326205,-0.49535763,1.949536,-0.21042915,-0.64941,-0.4128063,1.8892189,1.7172195,-1.1809343,3.0506537
Hs 606.T,-0.9263434,0.24224994,0.4422765,-0.2220127,0.16744632,-0.012914365,-0.8171171,0.21560432,0.14170843,-0.25724098,-0.016302012,0.43476626,-0.4444798,-0.30668274,0.73675156,-0.19653493
SW480,3.5835004,-1.1142224,-1.2173591,0.13808542,-0.76176894,-0.32416213,2.1109188,-1.2726842,0.24195234,1.2551132,-0.639895,0.5469681,1.6677585,0.3899213,-2.2189956,1.4531693
T24,0.18117964,-0.5637258,-0.10874647,-0.3726659,0.23879065,-0.07781078,-0.2997083,-0.071171686,0.42813638,-0.37493998,-0.032475248,0.094560534,-0.030662838,-0.12643723,0.30355376,0.33574387
NCI-H1437,-0.8490611,0.24389309,0.46245795,-0.07989822,0.27195302,-0.042084586,-0.6321917,0.22558255,0.11818399,-0.24028315,0.0062489286,0.3580855,-0.5302287,-0.3102186,0.4851781,-0.38876456
A-704,0.107540205,-0.5924707,-0.106696606,-0.3778566,0.11923597,0.024872564,-0.6361658,0.066817775,0.4492647,-0.319454,-0.043433376,0.09508422,0.006533511,-0.0743541,0.24307513,0.33759844
SK-LMS-1,-1.5146403,-0.7728678,0.7857038,0.08376832,0.4996424,-1.2289343,-1.0235549,2.207255,-0.2003686,-0.6419649,-0.5525758,0.093269154,-0.92646164,0.39652115,1.1776245,0.70608634
TF-1,-0.8945346,0.22125459,0.47263873,-0.23370796,0.14223993,-0.052873585,-0.94493806,0.20038283,0.1159529,-0.28597456,-0.06733765,0.38378274,-0.5046905,-0.33685684,0.3088411,-0.36881143
NCI-H196,-1.5560546,0.5535988,0.12959415,0.85969335,0.47973874,-0.036373414,0.20128667,-0.05038878,-0.42166206,0.577587,-0.8148213,0.33495516,-0.32308137,-0.4916004,0.2638858,0.38216364
EB2,-1.2048972,0.110022396,0.8464457,1.4986227,1.2595842,-1.3025167,-0.17204763,0.6065356,-1.6134014,0.89418674,-0.4428998,0.13022572,-1.2737219,-1.4859042,-0.15694594,-0.4307572
KYSE-410,3.8535762,-2.3119814,-1.3736683,-0.1902146,0.19238696,-1.0413495,1.5302502,-0.5658746,0.32720828,0.62264174,-0.111530155,-0.23470895,1.211643,0.14263514,-2.1454363,1.3085815
SK-MEL-3,-1.801673,1.357693,-0.4170863,0.041849934,-0.14982307,1.6193315,-0.1406194,-0.40043378,0.34049836,-0.14935726,-0.03223359,-0.6771307,0.45399538,0.5388612,1.09655,0.25929332
HSC-2,0.40964797,2.2358668,1.4626274,-0.22353548,-0.22592372,1.3457042,-1.5419631,0.42763785,-1.8734412,-0.9285432,3.545211,-2.9027634,-0.588266,0.011613629,0.5302109,-5.2368603
CMK-11-5,-0.5628964,1.8270979,0.14319104,-0.42509797,-0.9553133,1.6746469,-0.24906416,-1.4835411,0.35322028,-0.15640447,0.9407464,-0.08209739,0.60464674,0.07078761,-0.21720606,-1.6527808
OV-90,-1.299497,0.9805928,0.87220526,-0.80462885,-0.28382885,0.9984598,-1.7853647,1.8652633,-0.21769759,-1.8336867,2.3533502,-2.279007,-0.1724385,1.1731386,1.4533719,-2.4561007
NCI-H1385,1.075247,-1.2120756,-0.4818611,0.24909633,0.61413383,-0.84901404,0.37630168,-0.59943765,0.3179481,0.4816437,-0.750691,0.85639894,0.0172269,-0.8064288,-0.8470107,0.891366
KG-1-C,-1.6142491,1.0163802,-0.630583,0.008307887,-0.054477733,1.7164685,-0.20110144,-0.46463317,0.46403354,-0.18560648,-0.22180524,-0.85223055,0.6380212,0.70366013,0.9322433,0.648101
CW-2,6.564164,-0.11000736,-2.0892909,1.3754032,-2.2466524,-1.1710324,6.006272,0.22013012,-1.527575,2.4146495,0.15774421,-2.1546676,3.518365,3.896815,-3.646958,1.2422266
697,0.19986358,-0.60453916,-0.10493509,-0.34982625,0.16177,0.01881101,-0.41504577,-0.11751069,0.4786283,-0.35183644,-0.07934655,0.09853975,-0.09707907,-0.07691265,0.2965948,0.32216316
NCI-H1299,-0.009845205,-0.5663032,-0.10749945,-0.37250677,0.18326598,0.041882385,-0.3652242,-0.034897577,0.4549003,-0.38740364,0.013813533,0.099400066,-0.11896066,-0.11610779,0.4056032,0.18216184
DM-3,3.0964398,-0.12044691,-2.4740725,-0.8598937,-0.45748615,2.5714204,1.6516966,-2.819348,1.30387,0.021862172,1.2230554,-2.266261,2.512543,0.9862184,-1.7776488,0.23227447
CGTH-W-1,-0.842253,0.22820432,0.45627668,-0.09713129,-0.014927961,-0.01246156,-0.6005653,0.19341743,0.09749606,-0.28113264,-0.028011149,0.41614634,-0.50297785,-0.30566266,0.712837,-0.3215318
ESS-1,-0.08304237,0.80514973,1.8732145,2.2499437,0.51402116,-2.795911,0.78845626,2.219636,-3.8347886,1.7017711,0.45658058,-0.34434044,-1.3961718,-0.5354624,-0.9117478,-2.0684605
CCF-STTG1,-2.20561,1.4017786,-1.0416181,1.0730363,0.6624491,1.664711,0.7264846,-0.6147198,-0.13569555,0.67375934,-1.0626731,-0.98220956,0.86914474,0.52545077,0.8060844,1.3512403
Hs 698.T,0.12432966,-0.56062484,-0.10718474,-0.3504707,0.13964035,-0.10063149,-0.52122843,-0.106885076,0.4305034,-0.3035797,-0.03509321,0.095746316,-0.077032916,-0.10187998,0.28728575,0.19847333
TGBC11TKB,6.7856026,-2.037728,-1.3196782,1.2361444,0.9343934,-1.6606954,2.94634,-1.9783413,-1.6688784,2.3425417,1.0250843,-1.2281532,1.228946,-1.0477443,-4.5919456,-0.6838797
