sample_id,variable,class_label,probability,known_label,predicted_label,split
PE/CA-PJ49,Erlotinib,,,,0.0514974370598793,train
UACC-62,Erlotinib,,,0.105319665408293,0.02609497308731079,train
HEC-59,Erlotinib,,,0.0231255701168466,0.06375862658023834,train
MOLM-16,Erlotinib,,,,0.07459084689617157,train
KYSE-510,Erlotinib,,,0.0072697969032743,0.06424807757139206,train
JMSU-1,Erlotinib,,,0.110923506771192,0.03357510268688202,train
K-562,Erlotinib,,,,0.0727071538567543,train
NCI-H2023,Erlotinib,,,0.0196922070680006,0.06481780111789703,train
COLO 205,Erlotinib,,,0.0524329965851902,0.052848704159259796,train
SUIT-2,Erlotinib,,,0.12975502270627,0.04751904308795929,train
KP-N-SI9s,Erlotinib,,,0.0729198755695362,0.054296255111694336,train
SW1417,Erlotinib,,,0.0119077730879152,0.01504271849989891,train
SK-CO-1,Erlotinib,,,0.135089516259724,0.06871403008699417,train
Hs 606.T,Erlotinib,,,,0.07068498432636261,train
SW480,Erlotinib,,,0.020401477901209,0.03180567920207977,train
T24,Erlotinib,,,0.0768022402098758,0.051089346408843994,train
NCI-H1437,Erlotinib,,,,0.07263511419296265,train
A-704,Erlotinib,,,,0.050670232623815536,train
SK-LMS-1,Erlotinib,,,0.0986029758746453,0.08334793150424957,train
TF-1,Erlotinib,,,,0.06886006146669388,train
NCI-H196,Erlotinib,,,,0.04907799884676933,train
EB2,Erlotinib,,,0.0512378600325254,0.0857948586344719,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.044565778225660324,train
SK-MEL-3,Erlotinib,,,,0.05069586634635925,train
HSC-2,Erlotinib,,,0.0718212186324384,0.055835042148828506,train
CMK-11-5,Erlotinib,,,,0.054219163954257965,train
OV-90,Erlotinib,,,0.0,0.07166436314582825,train
NCI-H1385,Erlotinib,,,,0.05340755730867386,train
KG-1-C,Erlotinib,,,,0.047789763659238815,train
CW-2,Erlotinib,,,,0.10233688354492188,train
697,Erlotinib,,,0.109439352447289,0.05292673781514168,train
NCI-H1299,Erlotinib,,,0.0626858625403708,0.05041936784982681,train
DM-3,Erlotinib,,,,0.0679151713848114,train
CGTH-W-1,Erlotinib,,,,0.06936274468898773,train
ESS-1,Erlotinib,,,0.0676722356100884,0.07087677717208862,train
CCF-STTG1,Erlotinib,,,,0.024899236857891083,train
Hs 698.T,Erlotinib,,,,0.04813387244939804,train
TGBC11TKB,Erlotinib,,,,0.08526729047298431,train
U-138MG,Erlotinib,,,,0.026023969054222107,train
HCC1954,Erlotinib,,,0.10922294838185,0.04727786406874657,train
SW837,Erlotinib,,,,0.0674697533249855,train
MDA-MB-436,Erlotinib,,,0.0656501567842006,0.05053345859050751,train
RCH-ACV,Erlotinib,,,,0.06681334227323532,train
SNU-387,Erlotinib,,,0.0137625000000001,0.07730356603860855,train
SU-DHL-5,Erlotinib,,,,0.06592990458011627,train
LP-1,Erlotinib,,,0.0,0.07068658620119095,train
OCI-Ly10,Erlotinib,,,0.0721484574952942,0.08168866485357285,train
H4,Erlotinib,,,0.0303917922741951,0.049083441495895386,train
JL-1,Erlotinib,,,,0.05227532610297203,train
786-O,Erlotinib,,,0.0173998808952982,0.05258076265454292,train
Namalwa,Erlotinib,,,,0.07157778739929199,train
SK-HEP-1,Erlotinib,,,0.0225654593824648,0.06209612637758255,train
SW1710,Erlotinib,,,,0.07293398678302765,train
ChaGo-K-1,Erlotinib,,,,0.08903128653764725,train
KMRC-2,Erlotinib,,,0.0557129797932296,0.05173732340335846,train
MeWo,Erlotinib,,,0.0,0.035939790308475494,train
SCC-15,Erlotinib,,,,0.07431269437074661,train
RPMI-8226,Erlotinib,,,,0.05700046941637993,train
JVM-2,Erlotinib,,,,0.052179478108882904,train
Hep-G2,Erlotinib,,,0.028461952671853,0.051355380564928055,train
SK-MEL-31,Erlotinib,,,0.0229383589159689,0.07257624715566635,train
BICR 56,Erlotinib,,,,0.08506216108798981,train
HCC2157,Erlotinib,,,,0.07161463052034378,train
TE-6,Erlotinib,,,,0.06890943646430969,train
Hs 604.T,Erlotinib,,,,0.049763023853302,train
KCL-22,Erlotinib,,,0.045496630596638,0.07736708223819733,train
Calu-3,Erlotinib,,,0.139699599142118,0.0976419597864151,train
LAMA-84,Erlotinib,,,,0.07175363600254059,train
NCI-H1105,Erlotinib,,,,0.0703158751130104,train
RS-5,Erlotinib,,,,0.05969750136137009,train
CAL-78,Erlotinib,,,0.0301368569813702,0.07027188688516617,train
A2058,Erlotinib,,,0.0203164321242007,0.024347679689526558,train
RL,Erlotinib,,,,0.05007006973028183,train
MDST8,Erlotinib,,,,-0.014495573937892914,train
SK-N-AS,Erlotinib,,,0.0127704422972367,0.05039609223604202,train
SNU-626,Erlotinib,,,,0.0484917014837265,train
RCC4,Erlotinib,,,,0.07469424605369568,train
Ci-1,Erlotinib,,,0.0,0.026641637086868286,train
HMC-1-8,Erlotinib,,,0.0194228408584924,0.053929172456264496,train
IST-Mes2,Erlotinib,,,0.0253521215403125,0.06893861293792725,train
UACC-257,Erlotinib,,,0.0049737474990444,0.025482041761279106,train
NCI-H2196,Erlotinib,,,,0.0786101445555687,train
8-MG-BA,Erlotinib,,,0.0742306712571944,0.03277071937918663,train
SU.86.86,Erlotinib,,,0.0552695916589043,0.054708950221538544,train
FU-OV-1,Erlotinib,,,0.116164486880648,0.08508947491645813,train
HCC366,Erlotinib,,,,0.09291815757751465,train
NU-DUL-1,Erlotinib,,,,0.0569576695561409,train
HuT 78,Erlotinib,,,0.0,0.0727362111210823,train
5637,Erlotinib,,,0.202139462625986,0.071170873939991,train
KYSE-150,Erlotinib,,,0.0819979299467457,0.07158001512289047,train
KE-37,Erlotinib,,,,0.04902862384915352,train
SF295,Erlotinib,,,0.0548661332673498,0.047899067401885986,train
SNB-19,Erlotinib,,,,0.0749438926577568,train
SF767,Erlotinib,,,,0.06909045577049255,train
HT-1197,Erlotinib,,,0.0581736015518673,0.0673941969871521,train
IGR-37,Erlotinib,,,0.0326273087860175,0.050996750593185425,train
SIG-M5,Erlotinib,,,0.126180404243534,0.04909006878733635,train
EFE-184,Erlotinib,,,0.103552446743147,0.08995456248521805,train
Toledo,Erlotinib,,,0.0,0.05602145940065384,train
UM-RC-6,Erlotinib,,,,0.06716368347406387,train
SF8657,Erlotinib,,,0.0066046249367025,0.07385049015283585,train
WM266-4,Erlotinib,,,0.013118494741462,0.04635933041572571,train
BICR 22,Erlotinib,,,,0.07386786490678787,train
COR-L51,Erlotinib,,,,0.07223041355609894,train
HLF-a,Erlotinib,,,,0.052535999566316605,train
SUP-M2,Erlotinib,,,0.0,0.049392834305763245,train
MOLT-13,Erlotinib,,,,0.09171938896179199,train
SUP-HD1,Erlotinib,,,,0.04607727378606796,train
COLO 818,Erlotinib,,,,0.040132034569978714,train
RMG-I,Erlotinib,,,,0.0531265027821064,train
MPP 89,Erlotinib,,,0.0190493875298152,0.03938811272382736,train
HSC-3,Erlotinib,,,,0.06872051954269409,train
HT115,Erlotinib,,,,0.13905015587806702,train
NCI-H2052,Erlotinib,,,0.0832065598621997,0.04866582900285721,train
OVKATE,Erlotinib,,,,0.06901636719703674,train
PC-14,Erlotinib,,,0.540454830321444,0.07108547538518906,train
MHH-NB-11,Erlotinib,,,,0.04750523343682289,train
HMEL,Erlotinib,,,,0.07138114422559738,train
HCC2218,Erlotinib,,,,0.05385259538888931,train
CHL-1,Erlotinib,,,0.131031637107937,0.05398723483085632,train
MOLP-8,Erlotinib,,,0.0087589415680787,0.030530672520399094,train
BICR 16,Erlotinib,,,,0.06910151243209839,train
Hs 940.T,Erlotinib,,,,0.051084406673908234,train
KG-1,Erlotinib,,,0.0368547649599705,0.05595818907022476,train
TALL-1 [Human adult T-ALL],Erlotinib,,,,0.07676897943019867,train
VMRC-RCW,Erlotinib,,,0.009323782911607,0.04976765811443329,train
COLO 704,Erlotinib,,,,0.0952715203166008,train
CAL-148,Erlotinib,,,,0.08190824836492538,train
AsPC-1,Erlotinib,,,0.0560623329164002,0.07159124314785004,train
K029AX,Erlotinib,,,0.0,0.04969462752342224,train
KYO-1,Erlotinib,,,,0.07304328680038452,train
OAW42,Erlotinib,,,,0.06839171797037125,train
KALS-1,Erlotinib,,,0.0361256866594273,0.08498498797416687,train
KYSE-520,Erlotinib,,,0.185508738558247,0.06750541925430298,train
KLE,Erlotinib,,,0.0871332926716541,0.09691956639289856,train
MDA-MB-435,Erlotinib,,,0.0032447247819237,0.05344086512923241,train
LS180,Erlotinib,,,,0.07528242468833923,train
NCI-H460,Erlotinib,,,0.0156850277955704,0.07422266155481339,train
NCI-H716,Erlotinib,,,,0.05429624766111374,train
HT-1376,Erlotinib,,,0.11419338041038,0.07035380601882935,train
MHH-CALL-4,Erlotinib,,,,0.0558650866150856,train
42-MG-BA,Erlotinib,,,0.0910999117227594,0.051483601331710815,train
PL45,Erlotinib,,,0.0629719252063515,0.054411448538303375,train
KYSE-30,Erlotinib,,,0.107401668997436,0.06684619188308716,train
LS123,Erlotinib,,,0.0687453300998243,0.029920103028416634,train
TT2609-C02,Erlotinib,,,0.0764294419818976,0.07537004351615906,train
KPL-1,Erlotinib,,,,0.07176657766103745,train
LC-1F,Erlotinib,,,,0.08671524375677109,train
U-343MGa,Erlotinib,,,,0.06806396692991257,train
NCI-H684,Erlotinib,,,,0.06687784194946289,train
NCI-H1836,Erlotinib,,,,0.0326012559235096,train
CAL-120,Erlotinib,,,,0.03347821906208992,train
HDLM-2,Erlotinib,,,,0.03957151249051094,train
NCI-H292,Erlotinib,,,,0.07335019111633301,train
SH-4,Erlotinib,,,,0.047928065061569214,train
SNU-201,Erlotinib,,,,0.05301981046795845,train
SNU-410,Erlotinib,,,,0.05323629081249237,train
TUHR14TKB,Erlotinib,,,,0.05099395662546158,train
Becker,Erlotinib,,,,0.07091423124074936,train
PE/CA-PJ41 (clone D2),Erlotinib,,,,0.07129305601119995,train
HEL,Erlotinib,,,,0.03550372272729874,train
Hs 737.T,Erlotinib,,,,0.052175670862197876,train
NCI-H1666,Erlotinib,,,0.379534141507989,0.04974903166294098,train
HCC2814,Erlotinib,,,,0.07361007481813431,train
OVK18,Erlotinib,,,,0.0982646644115448,train
Daoy,Erlotinib,,,0.033018722300065,0.08836739510297775,train
HCC1588,Erlotinib,,,,0.02155805192887783,train
LCLC-103H,Erlotinib,,,0.0185216437044789,0.08652041852474213,train
BT-549,Erlotinib,,,0.0195656376392978,0.05095399171113968,train
NCI-H1563,Erlotinib,,,0.0216638206811162,0.04697735607624054,train
GR-M,Erlotinib,,,,0.07342945784330368,train
BxPC-3,Erlotinib,,,0.11221767317599,0.0686178132891655,train
TEN,Erlotinib,,,0.0,0.03256888687610626,train
BFTC-909,Erlotinib,,,0.0269900860312162,0.08484971523284912,train
ACC-MESO-1,Erlotinib,,,,0.11073686182498932,train
