,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48
AU565,-1.1085533,1.1053398,-0.41230345,-0.9604978,0.24353132,0.12928614,-0.37879044,0.8029902,0.5870322,-1.6350622,-0.4047084,-0.53222597,-0.7256071,-0.17944607,0.41252816,2.1971924,0.12798914,-0.23461938,-0.42131516,-0.18747783,-0.05503136,-0.3707989,-0.15298991,2.6335824,-0.390252,0.12784669,-1.3159246,-1.863763,-0.29997167,1.1368086,0.9522826,-0.8769001,1.0019414,0.64414257,2.1080027,2.9838693,-0.7971386,2.6596513,-0.13985021,0.7771119,1.1800181,-0.97694135,1.3626894,2.072882,-2.793811,1.3684443,-1.6611336,0.6504806,-1.8135624
NCI-H1755,-0.5782087,1.0819052,-0.11606218,0.36816233,-0.2873665,-0.29599395,0.5513795,-1.7414426,0.49067184,-2.3190622,0.31830767,-0.40017194,1.5706283,-2.783861,-2.225931,-0.7758872,-2.1013577,-0.57145476,-1.5462893,3.1036417,1.4512374,1.2121723,0.88022697,0.48219162,0.26529557,-0.42364505,-0.06246644,-1.0127127,-0.075957775,1.7543454,-0.36825207,0.11412333,0.7574566,-0.3970399,-1.2035216,-0.11005284,0.6699009,0.5127388,0.6053542,0.42760533,-0.18559238,1.2607536,0.5644693,0.27951977,0.6235184,-0.25441834,-0.38811514,-1.7398095,0.7973155
CAS-1,-0.11704303,-1.6560357,0.24622911,1.2748419,0.8836528,-0.76262176,1.2616328,-0.5415665,0.24044374,-0.8049359,0.5946174,-1.1198452,-1.3027942,-1.1037321,-0.36714032,-0.027340207,-0.011089878,1.3436447,-0.7425676,-0.8030738,1.7129209,-0.88933206,-0.9118191,-0.12567782,-0.97900784,-0.049378492,-0.42312542,-0.8281506,-1.6363777,0.6005717,1.3775471,1.1650023,1.2330815,-0.19715203,0.01737681,-0.23172392,1.5440987,1.1359259,-0.9632055,-1.8593996,-0.8072517,1.2393323,-1.7955531,-0.1185015,-0.14348863,-1.1492455,-0.49881932,-0.5607059,1.8719014
RKO,1.2980076,0.8691214,-0.065631084,0.077562064,0.36077976,-0.8342884,-0.7020763,-1.2486176,0.36646992,0.2555297,0.23234947,1.5265507,-1.4465195,1.4225477,0.35698798,0.99697286,0.79416555,-2.0187914,-1.9335754,-0.1852225,-1.3430684,0.584844,0.13113552,1.168688,-1.1547577,0.008536581,0.7207708,2.2251973,0.16401005,-1.473381,-0.18194619,0.32848626,0.14108081,-0.82196105,-1.2781979,-0.643465,-0.18441512,-1.5892785,1.0435702,0.6281033,0.060739815,0.34893334,-2.0510912,1.2104355,1.0176107,0.03977433,-0.4622652,1.4926237,1.1207262
SNU-C5,0.119712204,0.12676065,-0.0571844,-0.68517756,1.5831494,-0.18720901,-0.2652454,0.6861606,-0.65097845,0.04904803,-0.9138777,0.558835,0.5526522,0.98789036,0.9455303,1.1641101,2.1369793,-1.673933,-0.68838215,-0.6121497,-1.8325319,-0.1955072,0.74240845,0.3485134,0.8481075,-0.17282297,1.0910285,1.9873735,1.9122678,0.6956324,0.2971547,0.1784858,-0.47686478,-0.4372542,-2.0436778,0.40838778,-1.90654,1.2389269,2.120954,0.8837703,-0.911692,-0.30621406,-0.3728053,-0.73648995,1.7840972,1.7153419,0.7172341,-1.6261097,0.27573353
SK-N-DZ,-0.6039368,1.8194994,0.4538158,0.6018053,1.5354228,1.2674474,-2.0075157,-1.784498,-0.7367182,-1.1439462,1.1246026,-0.99323314,1.07601,0.320195,0.2602808,1.1513449,-0.22320211,-0.74870354,-0.08739947,-0.22291481,2.301825,-0.75075215,1.4307365,-0.43865013,2.0041606,0.37225744,0.34114605,-0.5948367,-1.8124964,-0.74431735,-1.446478,1.1292206,2.7321517,-0.531763,-0.5071238,0.027723892,-0.71926284,-1.7807659,-0.20964462,2.0570076,-0.2997725,2.3322246,-1.5313532,0.56120354,-0.89155155,-0.9435679,-0.4405409,-1.0071887,2.0052142
NB4,-1.0855914,0.9152413,-1.0145366,-1.357425,0.61460257,-1.7791501,-1.3889836,0.30541188,1.4291457,1.1663059,-0.7026117,1.4350636,-0.17632562,0.6439844,-1.260249,1.1833924,-2.106584,-0.6394197,-1.2408851,0.6806673,-0.16801807,1.5311538,1.8738502,1.245197,-2.788867,0.36807433,0.29129198,0.860994,1.0677502,-1.1968501,-0.14902481,0.5180653,2.0039976,-0.5001166,0.36001426,0.4398923,-0.8767821,-1.5181856,-0.38167697,1.5359601,-0.9607646,1.1591679,1.1333036,-0.2767525,0.59930724,-0.26472065,-0.8304478,0.8451182,1.3176949
5637,1.7313298,-0.51970565,0.54543614,0.2103929,-0.4732939,0.30481726,-0.5041208,-0.33437547,1.859219,1.75672,-0.5220059,-1.0352829,-0.5660563,0.74587154,-0.98744375,-0.071563095,1.7849758,-0.56627804,2.0747695,-0.40910983,-0.43241245,0.5901618,1.0886002,3.004484,1.0090826,-0.8087723,3.0040116,-1.0173472,-0.34058636,0.6943879,0.18374011,-1.377307,-0.45254642,-2.123166,-0.74030554,-0.1978312,0.9907167,0.94387025,-1.5282028,-1.3284663,-1.0988123,-0.042742256,-0.28948376,-2.2164245,1.1519717,0.022652447,1.336212,-1.9906706,1.0759901
PLC/PRF/5,2.2288914,1.1645857,0.3838656,0.7334971,-0.5997363,1.2046463,1.6528153,-1.1065569,-0.95664495,-0.20168717,0.7193878,2.0563471,-1.5747684,-0.551309,-0.7070549,0.60130847,-2.1505842,-0.25517595,-1.6520654,0.7392057,1.0041289,1.2288909,-0.36145887,-0.4751379,-1.171124,0.2205678,0.7216864,-0.77083707,0.18985485,1.1934488,-0.7083496,0.7145967,-1.0297705,-0.30359676,-1.5618502,-0.86379147,1.6514773,-1.9161001,-0.20995827,2.1067963,3.1251233,0.012119007,-0.6824052,1.0472153,-0.28060874,1.4336382,0.28347522,1.8869283,-1.544588
HCC1599,-0.15988488,-2.303383,-1.2345217,1.1860752,-3.0355608,1.3747677,-1.7765431,0.47451714,-0.41271564,0.009675985,-0.73257446,0.67080116,-0.36827797,4.010613,0.4900776,0.9379003,1.4478166,-0.14128028,-0.17820469,-1.0442461,-2.0606751,-0.020396702,-1.9653435,1.2529145,-1.3996361,-1.6702899,-1.993645,0.40521207,0.86290544,-0.7270707,-0.4196887,-0.71313536,0.76862824,-0.18677038,0.605245,-0.96089125,-2.187774,1.0442524,0.2750529,-0.6631202,0.646531,-0.52978384,-0.6838156,-1.118396,-0.60498774,-1.1463615,0.76371735,0.116138145,-2.630882
