target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,TNFRSF17,0.000112500376758287,IntegratedGradients
Erlotinib,0,,all,SOX10,0.00012498185814638143,IntegratedGradients
Erlotinib,0,,all,IKZF1,0.00018945468586416606,IntegratedGradients
Erlotinib,0,,all,BTK,0.0001585642380334866,IntegratedGradients
Erlotinib,0,,all,VPREB3,0.00014247237519112314,IntegratedGradients
Erlotinib,0,,all,YAP1,0.00028234699820967805,IntegratedGradients
Erlotinib,0,,all,MLANA,5.962564831626603e-05,IntegratedGradients
Erlotinib,0,,all,MZB1,0.00017793440974180104,IntegratedGradients
Erlotinib,0,,all,KLF1,8.282524898007708e-05,IntegratedGradients
Erlotinib,0,,all,GRHL2,0.00019347152154485363,IntegratedGradients
Erlotinib,0,,all,SPIB,0.00011098562188696285,IntegratedGradients
Erlotinib,0,,all,PHOX2A,0.00011473826064823802,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0004290306463520704,IntegratedGradients
Erlotinib,0,,all,CCN1,0.00018628226797130272,IntegratedGradients
Erlotinib,0,,all,MYB,0.00014615361037393463,IntegratedGradients
Erlotinib,0,,all,RHOH,0.00010873232307912486,IntegratedGradients
Erlotinib,0,,all,LGALS4,0.00014895344208895242,IntegratedGradients
Erlotinib,0,,all,GNG12,0.00019961230315811832,IntegratedGradients
Erlotinib,0,,all,CD52,0.00014486292581569093,IntegratedGradients
Erlotinib,0,,all,INSM1,0.00015903107855418103,IntegratedGradients
Erlotinib,0,,all,GJB3,0.0004672617837087655,IntegratedGradients
Erlotinib,0,,all,CXorf21,0.00023380460210349995,IntegratedGradients
Erlotinib,0,,all,AZU1,0.0002487956275609676,IntegratedGradients
Erlotinib,0,,all,CHGA,0.00014828879934164222,IntegratedGradients
Erlotinib,0,,all,ASCL1,0.00030350996129951545,IntegratedGradients
Erlotinib,0,,all,AXL,0.0006121507791483687,IntegratedGradients
Erlotinib,0,,all,LYZ,0.0001654845317794826,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.00018068525654359839,IntegratedGradients
Erlotinib,0,,all,WWTR1,0.0001286580573549947,IntegratedGradients
Erlotinib,0,,all,TPM1,0.00035015316108826216,IntegratedGradients
Erlotinib,0,,all,LLGL2,0.000577836900628472,IntegratedGradients
Erlotinib,0,,all,IFFO1,0.0007362197832462213,IntegratedGradients
Erlotinib,0,,all,SDC4,0.00018952679963204602,IntegratedGradients
Erlotinib,0,,all,MST1R,0.00026468237715985974,IntegratedGradients
Erlotinib,0,,all,MAP7,0.00023003111609332544,IntegratedGradients
Erlotinib,0,,all,PRR15L,0.00018003753549389402,IntegratedGradients
Erlotinib,0,,all,MPZL2,0.00013725005914880364,IntegratedGradients
Erlotinib,0,,all,ELAVL3,0.0001864429866481822,IntegratedGradients
Erlotinib,0,,all,HOOK1,0.00026258329734691986,IntegratedGradients
Erlotinib,0,,all,AGR2,0.00069914515470641,IntegratedGradients
Erlotinib,0,,all,WIPF1,0.0003088229785173576,IntegratedGradients
Erlotinib,0,,all,ZEB1,0.0002719438479842654,IntegratedGradients
Erlotinib,0,,all,GFI1B,0.00014649155391546884,IntegratedGradients
Erlotinib,0,,all,CAV1,0.00019368226933664484,IntegratedGradients
Erlotinib,0,,all,VPREB1,6.0047802033926966e-05,IntegratedGradients
Erlotinib,0,,all,SYDE1,0.0006040561726226815,IntegratedGradients
Erlotinib,0,,all,KLF5,0.0006380784629025645,IntegratedGradients
Erlotinib,0,,all,LAD1,0.00016207975926450875,IntegratedGradients
Erlotinib,0,,all,RASGRP2,0.00031209791493737185,IntegratedGradients
Erlotinib,0,,all,DNTT,0.00018866837490665335,IntegratedGradients
Erlotinib,0,,all,FOSL1,0.00018089212593214483,IntegratedGradients
Erlotinib,0,,all,LCP2,0.0001437457575547808,IntegratedGradients
Erlotinib,0,,all,DDR1,0.00016202256823533064,IntegratedGradients
Erlotinib,0,,all,RND3,0.00013125367748654667,IntegratedGradients
Erlotinib,0,,all,LAIR1,0.00021299193087363454,IntegratedGradients
Erlotinib,0,,all,PIM2,0.0003829481640912934,IntegratedGradients
Erlotinib,0,,all,GPX2,0.0002513555980661325,IntegratedGradients
Erlotinib,0,,all,ELF3,0.0008347078177573614,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,0.0002071989797707241,IntegratedGradients
Erlotinib,0,,all,TEAD1,0.0007030697483323992,IntegratedGradients
Erlotinib,0,,all,SFN,0.0007074081309307232,IntegratedGradients
Erlotinib,0,,all,DSP,0.00021914673827208505,IntegratedGradients
Erlotinib,0,,all,FLI1,0.00030756394626492385,IntegratedGradients
Erlotinib,0,,all,S100A2,0.0014523791825771946,IntegratedGradients
Erlotinib,0,,all,LMNA,0.00023163322269638694,IntegratedGradients
Erlotinib,0,,all,F11R,0.00019779486722711182,IntegratedGradients
Erlotinib,0,,all,CALD1,0.0002583929361777865,IntegratedGradients
Erlotinib,0,,all,TSPAN6,0.0002771352197274232,IntegratedGradients
Erlotinib,0,,all,CYTIP,0.0001954146544883368,IntegratedGradients
Erlotinib,0,,all,BLNK,0.00025448988233346074,IntegratedGradients
