sample_id,variable,class_label,probability,known_label,predicted_label,split
AU565,Erlotinib,,,0.0466214596035104,0.038772813975811005,train
NCI-H1755,Erlotinib,,,,0.01653588004410267,train
CAS-1,Erlotinib,,,0.004626415726796,0.021079886704683304,train
RKO,Erlotinib,,,0.0046315843924956,0.0625375509262085,train
SNU-C5,Erlotinib,,,,0.04066890478134155,train
SK-N-DZ,Erlotinib,,,0.0023759306412319,-0.0007337071001529694,train
NB4,Erlotinib,,,,0.06355040520429611,train
5637,Erlotinib,,,0.202139462625986,0.1243719756603241,train
PLC/PRF/5,Erlotinib,,,0.0886662101862819,0.07562939077615738,train
HCC1599,Erlotinib,,,,0.16674932837486267,train
ST486,Erlotinib,,,,0.003943719435483217,train
RD,Erlotinib,,,0.0021772616522563,0.006075425073504448,train
KOPN-8,Erlotinib,,,,0.010991910472512245,train
Hs 742.T,Erlotinib,,,,0.07532493025064468,train
RVH-421,Erlotinib,,,0.0070321023866841,0.013243238441646099,train
Li-7,Erlotinib,,,,0.04046539589762688,train
NUGC-2,Erlotinib,,,,0.12212765216827393,train
SK-MEL-3,Erlotinib,,,,0.03487242013216019,train
HCC15,Erlotinib,,,0.027726216792311,0.03139167279005051,train
TO 175.T,Erlotinib,,,,0.09333670884370804,train
SNU-119,Erlotinib,,,,0.2745610177516937,train
GA-10,Erlotinib,,,,0.008951214142143726,train
SK-MEL-31,Erlotinib,,,0.0229383589159689,0.02132589928805828,train
CW-2,Erlotinib,,,,0.1521361619234085,train
MCAS,Erlotinib,,,0.028530477754127,0.018527410924434662,train
BCP-1,Erlotinib,,,,-0.003620777279138565,train
KMRC-20,Erlotinib,,,,0.05423417687416077,train
ML-1 [Human thyroid carcinoma],Erlotinib,,,,0.056690018624067307,train
NCI-H2171,Erlotinib,,,,0.029200609773397446,train
CAL-51,Erlotinib,,,,0.04759329557418823,train
NCI-H1568,Erlotinib,,,0.192524369049532,0.18030455708503723,train
KHM-1B,Erlotinib,,,0.049218625041717,0.04822684824466705,train
IGR-39,Erlotinib,,,0.0072505093170284,0.01066344790160656,train
JHH-5,Erlotinib,,,0.22465609505044,0.2209683507680893,train
MDA-MB-361,Erlotinib,,,,0.018608897924423218,train
NCI-H1650,Erlotinib,,,0.220793735361946,0.21606840193271637,train
EBC-1,Erlotinib,,,0.0454726012161155,0.039727553725242615,train
Capan-1,Erlotinib,,,,0.11225583404302597,train
A-172,Erlotinib,,,0.0200026578656478,0.04974764958024025,train
NCI-H1581,Erlotinib,,,0.0,0.029153630137443542,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.037001825869083405,train
KMS-34,Erlotinib,,,0.0064564022136489,0.009017493575811386,train
HCC1428,Erlotinib,,,,0.047257229685783386,train
SLR23,Erlotinib,,,,0.1958627849817276,train
SW780,Erlotinib,,,0.122386456001102,0.11507248878479004,train
NCI-H2126,Erlotinib,,,,0.25175273418426514,train
JURL-MK1,Erlotinib,,,,0.06920116394758224,train
BHT-101,Erlotinib,,,,-0.007093524560332298,train
DM-3,Erlotinib,,,,0.08207253366708755,train
HuP-T3,Erlotinib,,,0.0448855558355754,0.048349156975746155,train
OUMS-23,Erlotinib,,,,0.027280982583761215,train
GR-M,Erlotinib,,,,0.04505319893360138,train
MES-SA,Erlotinib,,,0.0021052305869831,0.011519122868776321,train
Peer,Erlotinib,,,,0.04896974191069603,train
NCI-H716,Erlotinib,,,,0.03864137828350067,train
EFO-21,Erlotinib,,,0.0443850557242215,0.04656615108251572,train
SNU-410,Erlotinib,,,,0.08269428461790085,train
TGBC11TKB,Erlotinib,,,,0.1330401748418808,train
TCCSUP,Erlotinib,,,0.0053850991607237,0.009517598897218704,train
HOS,Erlotinib,,,0.0,0.0032551512122154236,train
NCI-H1975,Erlotinib,,,0.0464013068654505,0.04989971965551376,train
OE33,Erlotinib,,,0.0994217425891791,0.07784309983253479,train
NCI-H526,Erlotinib,,,,0.014416310004889965,train
SNB-19,Erlotinib,,,,0.05976070463657379,train
Hep 3B2.1-7,Erlotinib,,,0.0,0.0019036270678043365,train
Panc 02.03,Erlotinib,,,0.126721659151957,0.11033979058265686,train
BC-3C,Erlotinib,,,,0.18512912094593048,train
Toledo,Erlotinib,,,0.0,0.0039036329835653305,train
LS411N,Erlotinib,,,0.0119201349143826,0.007722524926066399,train
RMUG-S,Erlotinib,,,,0.14064207673072815,train
HEC-1-A,Erlotinib,,,0.0027045288218543,0.08626637607812881,train
PE/CA-PJ34 (clone C12),Erlotinib,,,,0.2260614037513733,train
HEC-1-B,Erlotinib,,,0.067324354538357,0.06911352276802063,train
TCC-PAN2,Erlotinib,,,,0.03130017966032028,train
ACC-MESO-1,Erlotinib,,,,0.04040048271417618,train
COLO 678,Erlotinib,,,0.157057444982617,0.14149309694766998,train
KO52,Erlotinib,,,0.0654167281139243,0.07587134838104248,train
NALM-1,Erlotinib,,,,0.03289037570357323,train
COR-L47,Erlotinib,,,,0.09787099063396454,train
HDLM-2,Erlotinib,,,,0.06215289235115051,train
SNU-869,Erlotinib,,,,0.09579845517873764,train
TE-14,Erlotinib,,,,0.14342030882835388,train
Panc 10.05,Erlotinib,,,0.0565475629518381,0.050670236349105835,train
EN,Erlotinib,,,0.0081970826955626,0.09455747902393341,train
SNU-182,Erlotinib,,,0.126462530716505,0.10832272469997406,train
MEC-2,Erlotinib,,,,0.04962492734193802,train
COV504,Erlotinib,,,0.0711984611306931,0.06010885164141655,train
23132/87,Erlotinib,,,,0.038086093962192535,train
786-O,Erlotinib,,,0.0173998808952982,0.02198091149330139,train
BICR 16,Erlotinib,,,,0.23138196766376495,train
HEY A8,Erlotinib,,,0.0154558399513439,0.015342462807893753,train
KALS-1,Erlotinib,,,0.0361256866594273,0.030340319499373436,train
MOG-G-UVW,Erlotinib,,,,0.03208724036812782,train
OVCAR-8,Erlotinib,,,,0.026494063436985016,train
LN-464,Erlotinib,,,,0.05722327157855034,train
SNU-668,Erlotinib,,,,0.07192914187908173,train
GMS-10,Erlotinib,,,0.0190540934281724,0.02364821545779705,train
SUIT-2,Erlotinib,,,0.12975502270627,0.10206148028373718,train
PrEC LH,Erlotinib,,,,0.07860201597213745,train
T3M-10,Erlotinib,,,0.0519343810386682,0.05638350546360016,train
NCI-H1341,Erlotinib,,,0.103012744278107,0.09869758784770966,train
HT-1080,Erlotinib,,,0.0153929865687471,0.021455872803926468,train
U-178MG,Erlotinib,,,,0.05817092955112457,train
NCI-H2170,Erlotinib,,,0.198096525046799,0.17978614568710327,train
LoVo,Erlotinib,,,,0.05352317914366722,train
SNU-478,Erlotinib,,,,0.1538642942905426,train
U-138MG,Erlotinib,,,,0.014735694974660873,train
U2OS,Erlotinib,,,0.0449365561233068,0.03840655833482742,train
DV-90,Erlotinib,,,0.145650783489382,0.12335065007209778,train
HCC95,Erlotinib,,,,0.1743030548095703,train
AsPC-1,Erlotinib,,,0.0560623329164002,0.05772906169295311,train
KNS-62,Erlotinib,,,0.0,0.005797394551336765,train
LN-308,Erlotinib,,,,0.038719385862350464,train
MOLM-6,Erlotinib,,,,0.07642418891191483,train
NCI-H661,Erlotinib,,,0.0029913890869735,0.009444517083466053,train
BDCM,Erlotinib,,,0.0132267808987782,0.02520415186882019,train
COR-L88,Erlotinib,,,,0.06550198793411255,train
HPAC,Erlotinib,,,0.0644894115874022,0.06888473778963089,train
JeKo-1,Erlotinib,,,,0.06099547818303108,train
GaMG,Erlotinib,,,0.0362778026582661,0.034809038043022156,train
Mel Ho,Erlotinib,,,0.0213248501074773,0.01874195598065853,train
WM115,Erlotinib,,,0.0093040083597805,0.011250410228967667,train
JH-EsoAd1,Erlotinib,,,,0.14789874851703644,train
SNU-308,Erlotinib,,,,0.2047320008277893,train
SK-HEP-1,Erlotinib,,,0.0225654593824648,0.021916931495070457,train
LN-382,Erlotinib,,,,0.07549001276493073,train
TALL-1 [Human adult T-ALL],Erlotinib,,,,0.047140125185251236,train
MUTZ-5,Erlotinib,,,,0.04116280376911163,train
HCC2935,Erlotinib,,,0.364494181716601,0.31143608689308167,train
REC-1,Erlotinib,,,,0.0656968206167221,train
SCLC-21H,Erlotinib,,,,0.04822663217782974,train
HCT 116,Erlotinib,,,0.0291910516115331,0.017606966197490692,train
Hs 895.T,Erlotinib,,,0.0401884287247958,0.04617811739444733,train
KNS-81-FD,Erlotinib,,,0.0065135250637065,0.061665844172239304,train
NCI-H2196,Erlotinib,,,,0.11545713245868683,train
SK-N-BE(2),Erlotinib,,,0.0084039392609817,-0.0009055892005562782,train
MOLP-8,Erlotinib,,,0.0087589415680787,0.009842313826084137,train
ES-2,Erlotinib,,,0.0207823472235324,0.017081523314118385,train
SNU-1196,Erlotinib,,,,0.028752341866493225,train
BICR 22,Erlotinib,,,,0.2929876148700714,train
HEC-265,Erlotinib,,,0.0,-0.003791241906583309,train
A2058,Erlotinib,,,0.0203164321242007,0.01564440317451954,train
Mono-Mac-6,Erlotinib,,,,0.07971589267253876,train
HTK-,Erlotinib,,,,0.006394941359758377,train
SH-10-TC,Erlotinib,,,0.0300115489665035,0.04276258125901222,train
Hs 940.T,Erlotinib,,,,0.08694110810756683,train
CAL-78,Erlotinib,,,0.0301368569813702,0.013743406161665916,train
SALE,Erlotinib,,,,0.13295820355415344,train
LN-229,Erlotinib,,,0.0868919321501221,0.07493041455745697,train
NCI-H929,Erlotinib,,,,0.005306730512529612,train
F5,Erlotinib,,,,0.040397003293037415,train
Hs 281.T,Erlotinib,,,,0.06035226210951805,train
Hep-G2/C3A,Erlotinib,,,0.0202058023583914,0.0138812605291605,train
253J-BV,Erlotinib,,,,0.146484375,train
DMS 273,Erlotinib,,,,0.06815600395202637,train
SK-MEL-30,Erlotinib,,,0.0053500624689049,-0.002559483051300049,train
HCC2279,Erlotinib,,,,0.02600834146142006,train
CPC-N,Erlotinib,,,,0.10434207320213318,train
SNU-407,Erlotinib,,,,0.057655759155750275,train
NCI-H2009,Erlotinib,,,0.0812374464357929,0.0744207501411438,train
NCI-H1618,Erlotinib,,,,0.07306809723377228,train
RD-ES,Erlotinib,,,,0.06363226473331451,train
RCC4,Erlotinib,,,,0.18502600491046906,train
EM-2,Erlotinib,,,0.0606996145153811,0.06243903189897537,train
WM266-4,Erlotinib,,,0.013118494741462,0.03227422758936882,train
NCI-H1623,Erlotinib,,,,0.19597476720809937,train
NCI-H1092,Erlotinib,,,0.0,0.035667382180690765,train
MHH-CALL-2,Erlotinib,,,,0.01246844232082367,train
MCF-7,Erlotinib,,,0.0520886505724126,0.05168609321117401,train
Lu-65,Erlotinib,,,,0.07945447415113449,train
HL-60,Erlotinib,,,,0.09073981642723083,train
A2780,Erlotinib,,,0.0182631271735792,0.011235121637582779,train
SNU-878,Erlotinib,,,,0.07851124554872513,train
FaDu,Erlotinib,,,0.202366269449161,0.20484384894371033,train
JHUEM-3,Erlotinib,,,,0.16405200958251953,train
COR-L105,Erlotinib,,,0.184419137598666,0.18055228888988495,train
A4/Fukuda,Erlotinib,,,,0.03245074301958084,train
Reh,Erlotinib,,,0.0072748198316787,0.04048076644539833,train
NCI-H2081,Erlotinib,,,,0.028875917196273804,train
MOR/CPR,Erlotinib,,,0.0502375665599399,0.06644897162914276,train
VCaP,Erlotinib,,,,0.05567781999707222,train
COLO 205,Erlotinib,,,0.0524329965851902,0.034689903259277344,train
NH-6,Erlotinib,,,,0.016964806243777275,train
SK-RC-20,Erlotinib,,,,0.09320571273565292,train
EoL-1,Erlotinib,,,,0.08975882083177567,train
Pfeiffer,Erlotinib,,,0.128442704007119,0.12340909987688065,train
P31/FUJ,Erlotinib,,,0.010075471775247,0.015406354330480099,train
SNU-423,Erlotinib,,,0.0353444847840811,0.0021838494576513767,train
KMRC-2,Erlotinib,,,0.0557129797932296,0.05085618421435356,train
NCI-H1299,Erlotinib,,,0.0626858625403708,0.049424272030591965,train
SNU-5,Erlotinib,,,,0.06958695501089096,train
GDM-1,Erlotinib,,,,0.03672061115503311,train
HuH-6 Clone 5,Erlotinib,,,,0.0876435786485672,train
Huh-7,Erlotinib,,,,0.03943510726094246,train
COR-L279,Erlotinib,,,,0.0914449691772461,train
CAL-120,Erlotinib,,,,0.1084389016032219,train
Ri-1,Erlotinib,,,,0.09744815528392792,train
IGR-1,Erlotinib,,,,-0.010769029147922993,train
SW948,Erlotinib,,,,0.12545785307884216,train
QGP-1,Erlotinib,,,0.0604716766752486,0.011655185371637344,train
HT115,Erlotinib,,,,0.08974011242389679,train
PE/CA-PJ41 (clone D2),Erlotinib,,,,0.23494605720043182,train
OV7,Erlotinib,,,,0.026151860132813454,train
SNU-1066,Erlotinib,,,,0.15335822105407715,train
BJ1-hTERT,Erlotinib,,,,0.11306990683078766,train
CL-14,Erlotinib,,,,0.11935506761074066,train
Ci-1,Erlotinib,,,0.0,0.007610366679728031,train
OCUM-1,Erlotinib,,,0.0,0.10964980721473694,train
PE/CA-PJ15,Erlotinib,,,,0.2584746479988098,train
CHL-1,Erlotinib,,,0.131031637107937,0.04443599283695221,train
NOMO-1,Erlotinib,,,,0.16332167387008667,train
LK-2,Erlotinib,,,,0.041406720876693726,train
22Rv1,Erlotinib,,,0.0050320973958801,-0.004609009250998497,train
SNU-1077,Erlotinib,,,,0.20273686945438385,train
Hs 870.T,Erlotinib,,,,0.03295678272843361,train
CFPAC-1,Erlotinib,,,,0.11391197890043259,train
OCI-AML-5,Erlotinib,,,0.0410195798759189,0.046675946563482285,train
U266B1,Erlotinib,,,,0.07826025038957596,train
UM-UC-1,Erlotinib,,,,0.2129894196987152,train
Hs 821.T,Erlotinib,,,,0.07342337816953659,train
JHOM-1,Erlotinib,,,,0.04478520154953003,train
NCI-H1836,Erlotinib,,,,0.07394777983427048,train
NCI-H226,Erlotinib,,,0.0059545026920058,0.014854561537504196,train
DLD-1,Erlotinib,,,,0.02518223039805889,train
SNU-1076,Erlotinib,,,,0.14612406492233276,train
EB1,Erlotinib,,,0.0057546626057488,0.018016066402196884,train
NCI-H69,Erlotinib,,,,0.033124588429927826,train
KU-19-19,Erlotinib,,,,0.15846417844295502,train
Calu-3,Erlotinib,,,0.139699599142118,0.15380039811134338,train
UACC-893,Erlotinib,,,,0.09551214426755905,train
COR-L311,Erlotinib,,,,0.009030768647789955,train
OV56,Erlotinib,,,,0.03143782168626785,train
TUHR10TKB,Erlotinib,,,,0.16729426383972168,train
SNU-16,Erlotinib,,,0.0470671048886958,0.03207619860768318,train
Hs 739.T,Erlotinib,,,0.0,0.008344130590558052,train
SR,Erlotinib,,,,-0.003859151154756546,train
KYSE-70,Erlotinib,,,0.171711681503882,0.1598758101463318,train
SW1417,Erlotinib,,,0.0119077730879152,0.0014898637309670448,train
