,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
BCP-1,0.023579542,-0.0030797329,-1.3857375,-0.53981996,0.0002647604,1.4144368,-1.150427,-1.6934922,-0.43787625,1.0563713,0.6123401,-0.22946918,-1.9577571,-0.8293918,-0.019708797,-0.7194984
EHEB,-0.05085881,-1.0353357,0.2676666,0.8997199,1.70042,0.22673662,1.1242912,0.15278317,-0.45707348,0.39137828,-0.063792504,0.66667527,-1.0524265,-3.0455143,1.7844198,-0.3431496
KMRC-3,-0.07104306,-0.6604881,0.51262474,-0.46362713,-0.35078615,-0.14419846,-0.071925774,0.13108039,0.9352415,-1.2938726,-0.3815656,0.2842509,0.38478512,-2.0253108,0.6580144,-1.4527532
KOPN-8,0.30659643,0.20428778,0.71832955,1.9432346,0.86139685,0.29537526,-0.40682247,0.33947563,-3.1922154,0.37781784,-1.5074149,0.083211966,-1.3696593,-0.7686799,1.1520679,0.68538964
Hs 751.T,-0.9209927,-0.57169616,-0.6777041,-1.9280243,-0.12657191,1.1200386,0.3913123,0.24652849,-0.37715623,0.37899068,-0.51979214,1.4631405,-0.64899635,-0.12439869,-1.0109482,-1.7142985
Namalwa,-0.0060429564,0.005064737,-0.83498716,0.33432913,1.3946354,0.69004,0.74838006,-0.18555267,-3.0066717,-0.090802535,-0.027038813,0.09118208,-0.96597296,-0.62492937,0.72933143,-0.19859101
HH [Human lymphoma],0.094330415,-1.1109989,0.2018132,-0.48235762,0.31799492,0.3571854,0.7593868,-1.7567916,-0.7398532,-0.13491629,0.27816135,-0.31113794,-2.2138424,-1.038432,0.56354606,-0.10396568
T84,-1.3123899,0.3464199,0.7545244,-0.094093174,1.1599492,-2.3883522,0.7655262,-1.8112706,1.0902469,0.08309346,-1.7044206,1.5376847,-0.11118653,2.6070418,0.384874,1.4374783
8505C,0.3912548,-0.39822528,-0.07711284,0.45785037,1.167774,-0.3672198,-0.74746585,3.2093084,-1.3794559,-1.2122325,-0.43294522,0.20863594,-0.5416033,-0.94489217,-0.4777598,-2.2752116
PCM6,0.66874444,0.03210994,0.25679082,0.22656222,1.8154448,1.5480385,1.0703963,-0.9207206,1.6953249,0.91980296,0.48796594,0.11821577,-1.5356442,-1.4763069,1.060774,-0.43728817
BICR 18,-0.54556453,-0.5814797,-0.061062004,0.35752082,-0.1939843,-0.314839,1.4812241,-0.2665028,0.9950778,1.7645696,1.8433459,0.23113948,1.8159256,2.1032286,-0.7213471,2.2072477
KHM-1B,-1.4717094,-0.20089167,-0.72306746,0.37517866,0.35382122,0.6760218,-0.78124464,-0.8169467,-0.073991075,0.2979624,-2.2469614,-0.16829294,-1.8421,-1.5596234,0.82354724,0.5179611
HCC1428,-0.606922,-0.21425937,-1.5447798,1.5274181,-1.2062943,-1.1377869,0.09010219,-1.0076572,-0.26362926,-1.324289,0.47752517,-0.15823175,-1.0984105,-0.00031759392,-0.41166797,-0.73573524
TGBC11TKB,-0.33578035,-0.5892249,1.5770314,1.7308382,1.5832787,-2.189639,0.7180149,-1.9155115,1.7653767,0.65474355,-2.2987633,0.3547245,0.3808953,3.2645724,-0.7305932,2.0568125
BFTC-909,-0.98481995,-0.81459105,2.252151,0.5692576,0.140176,0.92157143,0.821212,0.07406743,0.633107,-0.14014588,-1.2104548,-0.24390964,-0.40714717,0.70254874,1.1291411,-1.2200538
KM-H2,-0.26187807,-1.7731625,0.15319006,0.030269302,0.87704307,0.7595096,0.62067205,-0.728909,-1.2735999,-0.47062787,0.30536467,0.104252234,-1.5176257,-2.141686,0.19507371,-0.9813768
DMS 114,0.35487556,0.62256944,-0.026526924,-1.2476997,-0.24350391,0.7014218,0.07677334,-0.7544078,-1.0495499,-0.45607167,-0.35190213,-0.8769156,0.5684263,0.106908396,-0.61297524,0.35289162
Hs 936.T,1.3064086,0.7108311,-0.57565427,0.47281522,1.2162969,1.8457496,-1.2962558,1.0981613,0.43547198,-1.3665663,2.125794,-0.50545156,-1.4773794,1.1629122,-0.8562515,0.14657229
OVCAR-8,0.41666147,0.22057283,0.9373989,0.24279985,-0.90144503,0.17405337,-0.03579691,0.36295506,-2.3152633,-0.5496633,-2.5185394,0.7098267,0.07358845,-0.11954261,0.035693645,-0.54305434
SK-N-SH,-0.080974996,-0.7335088,-0.045722235,-1.2271152,-0.746012,0.21668443,-0.6563908,0.91926175,-0.7943962,-0.18755084,-1.3614377,-1.593415,-0.6819993,0.33916095,-1.0975753,-2.0725274
EWS-502,-0.90582246,0.7145845,-0.6790263,-1.4425732,0.08205835,0.7739504,0.7224589,-0.52449346,-1.1194702,0.82350105,0.6094841,-0.61965793,-0.2711481,1.4623173,-1.0159328,0.63421965
Hs 706.T,-0.6561005,-0.79347515,0.15578495,-1.4982862,-0.1646076,1.2079971,0.19209124,0.26027858,-0.14799592,-0.19424434,-0.50209045,0.8402187,-1.0735452,-0.653827,-0.3250261,-1.4625666
HuH-28,-0.6317717,-0.84989023,1.7535902,-0.39482403,-0.012684878,-0.30145448,0.6742851,-1.1945496,0.72926044,-0.39604995,-0.08448946,0.6083285,-0.21787207,1.1366761,-0.2996954,-1.1977572
JHOS-2,0.111877516,-0.33395144,0.12945163,0.48517078,-1.0729705,0.9247745,0.9276683,-0.63238055,-0.49439165,-0.38986826,0.08094174,1.7790767,1.0735979,0.08035845,1.0486299,0.14950946
COV434,0.03763423,0.04299351,-0.5530714,-0.39888495,-0.37633651,0.032146446,-0.12274033,-0.45037422,-0.5016153,-0.7931137,0.25753817,-1.0543382,1.5857941,-1.0305388,-1.4640652,-0.053804655
Rh30,-0.06345706,0.4989028,0.3923183,-0.79009724,-0.38077328,0.5961509,0.40026015,-0.051234476,-2.4350488,-0.8580179,0.14764008,-0.22210771,-0.7064207,1.2782423,-0.97919333,-0.24831727
SCaBER,0.3744502,0.26613018,1.3543687,0.6292385,-0.49242187,-1.4698843,1.1858408,0.90458465,0.03571753,1.852004,1.2797964,0.47827777,0.969946,0.93552226,-0.5515786,-0.52109176
CAL-120,1.1331682,0.5717024,1.3031406,-0.28885064,-0.09230982,-2.0745184,0.76522994,1.1490506,-1.3624516,-1.3861245,-0.27435088,-0.060910173,-0.047344446,0.2899823,0.17383316,0.3360861
VMRC-LCD,-0.5835472,1.1609513,-1.5100737,-0.49472556,-0.73290277,0.8902848,-0.7595211,-0.8192183,1.1504805,-1.0548806,-0.7105157,-0.8539961,-0.70265406,0.29760274,1.1779816,-0.018497866
Karpas-299,-0.15430135,-0.51761496,1.1526313,0.120109074,0.20232052,-0.42033237,0.05834088,-0.79073894,-0.64157057,0.63637674,1.3221968,-0.14524184,-2.4603715,-0.1217112,-0.1834013,0.13233076
NCI-H596,-0.8663499,-0.37871078,1.39416,1.6442821,-0.29187292,-1.0033296,0.6869315,-0.18553482,1.0762539,0.65211195,0.5647002,-0.13151729,-0.37188956,1.434435,0.11718094,-0.8177545
SNU-349,-0.9081025,-0.98793006,0.50546974,-1.8937943,-1.2724098,0.08516535,-0.86598307,0.8646079,-0.14482228,-1.3435378,-0.44078276,0.6813863,-0.033874936,-2.0272095,2.3459191,-0.6664652
AML-193,-0.42510474,0.24927711,1.1576169,1.5712707,-0.6097889,1.3241327,-0.40263838,-0.4804735,-0.032016218,0.90158087,1.3143871,-0.54877955,-0.7652819,0.26269895,1.0553064,1.7404329
PL45,-0.4351006,0.34411266,0.2678472,1.0335588,0.14916417,-0.9230362,0.09049903,-0.037540674,-0.33112743,0.84508,-1.5396053,1.0268517,1.2783071,-0.5962354,-0.33405295,-0.06762527
HuP-T3,-1.0416561,-0.6624765,-0.49179503,0.5293765,0.3578873,0.18957165,-0.43179077,0.49125126,0.9884679,1.6228993,-2.2685776,0.7307902,2.481215,-1.3904667,-0.55188406,0.43374696
COLO 684,2.6602952,-0.15305267,-2.392508,-1.0420722,0.81161857,1.7210808,-0.30242446,2.047954,-0.11886514,-0.11475615,-0.7408005,-3.0795743,-0.44057193,-0.2971653,0.4497142,-1.8124524
JHOC-5,0.99195486,0.1129279,1.0127974,0.7814512,-0.12651235,-0.52073646,0.12504072,0.59607714,0.21362764,-1.077168,-0.020755284,-0.61982954,3.0326078,-2.1111815,0.1469144,-0.09216853
LN-235,0.15754984,0.41867056,1.1599768,-1.3246772,-1.2596488,-0.28772977,0.04974546,-0.31827453,0.5839986,-0.18854989,0.73204786,-0.4386451,-0.6082663,0.83833015,-0.77233535,-0.62093973
RERF-LC-A1,-0.2139638,-0.8870427,0.5201799,0.20734261,-0.06280478,0.73705447,-1.0696944,0.4903559,-0.99235916,-0.31662703,0.15121236,0.4465755,1.1934537,-0.20287144,-0.5294448,-0.5770186
BHT-101,-1.253956,0.36660603,0.15961212,-0.0631365,0.57976323,0.77653605,-0.17681326,1.3480839,2.73304,-0.78758514,-0.62382436,-0.4691372,0.094158635,-1.9368,0.22113486,0.4167617
G-402,-0.80173445,0.25738746,0.16106398,-0.6277676,-0.48906696,1.7508509,-0.63609093,-1.3235723,-0.29276,-1.2695552,0.09531708,0.36700648,0.645857,-0.17415243,-0.88424456,0.5233464
PaTu 8988s,-0.8662345,0.6970838,-1.0657227,-0.17100228,-0.04636572,-1.302097,-0.531705,-1.4375355,1.377172,0.44601676,-0.7354813,0.8751267,0.27767086,-0.84940404,-1.2573731,0.43951854
SK-N-DZ,-0.82822555,-0.6218719,-1.5410631,-0.8440685,-1.1773705,1.3661083,-0.14130993,-0.4482819,-1.3704836,-0.54718953,-0.6076618,-1.002267,-0.85993946,0.3009998,-1.2133919,-0.52717614
KP-2,0.019931734,0.8325951,-0.10703429,0.82499254,-0.27854255,-1.0118549,-0.40520975,0.4400771,-1.062479,0.32897708,-1.306445,1.4005992,-0.38687235,0.5297014,0.42730954,-0.38309658
SW1353,0.02971567,-0.096133865,1.2909299,-1.5797719,-0.53839743,0.7312609,0.09593684,0.061595883,-0.38467932,-0.79906493,-0.25432968,0.63041043,-0.9694037,-0.20727953,0.51068217,-0.9643629
Panc 10.05,-0.23702037,0.3938042,0.77411234,1.3881257,-0.6558202,0.5793962,0.037494373,-0.9155832,-0.2515728,1.0027441,-1.1019132,1.7688974,1.4725441,0.66775846,0.37538445,0.9737656
U-178MG,-0.58985364,0.13718358,1.2161257,-1.1784506,-0.5766193,0.96114266,-0.6027201,0.73210317,-0.7995446,-0.4852166,-0.11089659,0.4383692,-2.1515167,0.6441097,0.26614487,-1.6144217
647V,0.59204,0.06900119,0.19002384,0.84435683,-0.4380447,-0.4966372,0.8556685,0.99107414,-1.2056862,-0.21016514,-0.062879615,1.0064938,0.64088863,0.0073585683,0.9971831,-1.011541
Hs 611.T,-0.043923438,-1.0207208,-0.3974687,0.7291278,1.6557978,0.11881705,1.3187511,-0.017538106,-1.5323869,0.56337935,0.44743705,0.65805084,-0.6510053,-2.3317215,0.6133926,-0.09944308
KMRC-2,-0.4039914,-0.23618829,1.1184815,-0.2123707,0.27673572,0.30431223,-0.6741206,0.05606299,0.59398216,-1.6175134,-0.14735088,0.1430228,0.08674399,-1.7669173,0.6794137,-1.1864544
TE 441.T,-0.9151506,-0.30542085,-1.3657103,-0.85170686,-0.06576307,0.2599459,-0.28318617,-1.2451048,-0.9105191,-0.80826885,0.1727195,-0.008956252,-0.39411816,-0.3928261,-1.7359551,-0.7850678
JK-1,0.48301554,1.909261,0.00052475184,-0.27011684,0.43373844,1.0573658,-0.6692163,0.5398432,-0.2924558,-0.7527802,0.20236456,-0.8580422,0.74500406,-2.5261848,-0.03664282,2.9425004
HDQ-P1,1.1590042,0.0316038,0.3112988,0.40223417,-0.59279066,-1.7962447,1.3440224,0.027195077,0.3927658,0.7386051,1.1030796,0.9290332,0.99427104,-0.29308647,0.084369846,-0.013562385
HCC78,-0.124398194,0.47167403,0.0464648,0.7762811,0.31353062,0.13801424,0.08259063,0.5429792,0.41910192,0.08558122,-0.25935826,0.5133729,0.014983606,-0.45580295,1.8889909,-0.17210595
HLF-a,-1.0812243,-0.10152816,0.41488406,-1.8393798,-0.09904949,0.9441409,0.3661511,0.546411,0.56483305,0.11865272,-1.198421,0.5870309,-0.01508284,-0.95154434,-0.31985614,-1.1815569
VMRC-LCP,0.22740884,0.40792987,-0.0053243404,0.45100817,-1.1002406,-1.3632832,1.1153449,-0.010104431,1.233731,1.9298856,0.9884716,-0.47905445,0.38306385,0.6861354,0.21443075,0.38602123
EFM-192A,-0.7849261,-0.84021926,-0.8101153,1.9202137,-1.2320172,-0.1263407,0.223769,-2.2871585,0.6664667,-0.8847542,0.9275723,1.099556,-1.0502093,1.70717,0.51433897,0.06763442
AsPC-1,0.25996244,1.4669424,0.54960126,0.33198774,0.9975241,-0.5510919,-0.27915314,-0.96533304,2.2749012,0.6740814,-2.4135935,1.6639622,-0.026719017,0.41113394,-1.1191751,-0.34965348
LCLC-103H,-0.071521744,0.30117735,2.0427647,0.26887095,-1.3189791,1.1930416,-0.26032576,-0.15032282,-0.18984723,-0.76177984,0.0035979673,1.0426947,0.4986332,0.45122787,1.0636091,0.44053978
SU-DHL-4,0.6712685,0.4253483,-0.33886892,0.69197565,1.6665807,0.26762083,0.936189,-0.31969386,-2.5820448,-0.48133984,-0.25754178,0.18742265,-0.2034904,-1.1773763,1.1041725,0.35894603
NCI-H2066,-0.3491102,0.89418304,-0.87250066,-0.9732568,-0.6514607,0.9737471,-0.888583,-1.108594,0.97892255,-1.0671296,-0.7529695,-1.0932202,-0.76528275,0.24472584,0.5396964,-0.08746332
NCI-H661,0.27985883,-0.5814781,-0.085816994,-2.279219,-0.7600583,-0.58048844,-1.2295305,0.6628891,-1.9039904,-0.24510416,-0.7869215,-1.3350302,0.73722756,-0.21314567,1.1300443,-0.82915115
