target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,MSH6,0.0011892537302533174,IntegratedGradients
Erlotinib,0,,mutation,TSC1,0.0009243432705034393,IntegratedGradients
Erlotinib,0,,mutation,KRAS,0.004898144665477376,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.001689998834883691,IntegratedGradients
Erlotinib,0,,mutation,APC,0.002241789801566812,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.002412625006638625,IntegratedGradients
Erlotinib,0,,mutation,JAK2,0.0012523604870861515,IntegratedGradients
Erlotinib,0,,mutation,BRCA2,0.0021660763481097154,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.0025386982153292824,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.0012849065910009875,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.0015814181347554416,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.0010257550385049893,IntegratedGradients
Erlotinib,0,,mutation,FBXW7,0.0013533533331179363,IntegratedGradients
Erlotinib,0,,mutation,CDH1,0.0005781921288393932,IntegratedGradients
Erlotinib,0,,mutation,GNAS,0.001068083761765713,IntegratedGradients
Erlotinib,0,,mutation,PIK3CA,0.0013603604070360216,IntegratedGradients
Erlotinib,0,,rna,TNFRSF17,0.00014161346899558796,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.0003622692365345636,IntegratedGradients
Erlotinib,0,,rna,IKZF1,6.338412455018992e-05,IntegratedGradients
Erlotinib,0,,rna,BTK,0.0005109852161630049,IntegratedGradients
Erlotinib,0,,rna,VPREB3,0.000195638102133785,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.0002743988563324191,IntegratedGradients
Erlotinib,0,,rna,MLANA,0.00016344425213454827,IntegratedGradients
Erlotinib,0,,rna,MZB1,6.828795725585885e-05,IntegratedGradients
Erlotinib,0,,rna,KLF1,9.893960337047599e-05,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.00015735991414393672,IntegratedGradients
Erlotinib,0,,rna,SPIB,0.00012051758387763344,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,9.237830842775071e-05,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.0003147251873229304,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.0006391124100539003,IntegratedGradients
Erlotinib,0,,rna,MYB,0.00024300311596392685,IntegratedGradients
Erlotinib,0,,rna,RHOH,0.00011788959952442928,IntegratedGradients
Erlotinib,0,,rna,LGALS4,6.73750322222364e-05,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.0008088290808450778,IntegratedGradients
Erlotinib,0,,rna,CD52,8.479618830698683e-05,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.00031903935813163824,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.00018725774368913474,IntegratedGradients
Erlotinib,0,,rna,CXorf21,0.0002053164811064417,IntegratedGradients
Erlotinib,0,,rna,AZU1,0.00017565252549577552,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.00029519946719963364,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.00014425137978457892,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0009620957626319331,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.0003233282580842667,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.0004100001513085385,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.0003779800786584642,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.0003998289070501739,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.0002107339675288854,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.0007063007891134097,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.0001772419845868717,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.0001005761256838929,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00026494615030914063,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.000603669963187586,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.00023761465574941297,IntegratedGradients
Erlotinib,0,,rna,ELAVL3,0.00016456338038159572,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.00013495864240711786,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.00030152606761579224,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.00025964731532458025,IntegratedGradients
Erlotinib,0,,rna,ZEB1,0.0002793130668556035,IntegratedGradients
Erlotinib,0,,rna,GFI1B,0.00016410126446644245,IntegratedGradients
Erlotinib,0,,rna,CAV1,0.000296523915653135,IntegratedGradients
Erlotinib,0,,rna,VPREB1,8.327737436178407e-05,IntegratedGradients
Erlotinib,0,,rna,SYDE1,0.0004067192333183286,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.0008467193621168105,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.00017223342647224043,IntegratedGradients
Erlotinib,0,,rna,RASGRP2,0.00040679610837671007,IntegratedGradients
Erlotinib,0,,rna,DNTT,0.0004238811518610118,IntegratedGradients
Erlotinib,0,,rna,FOSL1,0.000700807406321122,IntegratedGradients
Erlotinib,0,,rna,LCP2,0.0001234620667819513,IntegratedGradients
Erlotinib,0,,rna,DDR1,0.00019425668467614753,IntegratedGradients
Erlotinib,0,,rna,RND3,0.0003193152357115926,IntegratedGradients
Erlotinib,0,,rna,LAIR1,0.00015239387823410124,IntegratedGradients
Erlotinib,0,,rna,PIM2,0.00034840474365329386,IntegratedGradients
Erlotinib,0,,rna,GPX2,0.0013599120041318084,IntegratedGradients
Erlotinib,0,,rna,ELF3,0.0006160625361753728,IntegratedGradients
Erlotinib,0,,rna,ARHGAP25,0.0001249324548151061,IntegratedGradients
Erlotinib,0,,rna,TEAD1,0.0009445523812294207,IntegratedGradients
Erlotinib,0,,rna,SFN,0.00016228836742910452,IntegratedGradients
Erlotinib,0,,rna,DSP,0.00014036515379200166,IntegratedGradients
Erlotinib,0,,rna,FLI1,0.00018561507413225435,IntegratedGradients
Erlotinib,0,,rna,S100A2,0.0016078460181983634,IntegratedGradients
Erlotinib,0,,rna,LMNA,0.0005085543099031323,IntegratedGradients
Erlotinib,0,,rna,F11R,0.00017120579655388731,IntegratedGradients
Erlotinib,0,,rna,CALD1,0.00025601002236283346,IntegratedGradients
Erlotinib,0,,rna,TSPAN6,0.0002981595972520994,IntegratedGradients
Erlotinib,0,,rna,CYTIP,0.000254541638238741,IntegratedGradients
Erlotinib,0,,rna,BLNK,0.00028303206940089975,IntegratedGradients
Erlotinib,0,,rna,LOXL2,0.0001806420122005708,IntegratedGradients
Erlotinib,0,,rna,TSPAN1,0.00017398284064092028,IntegratedGradients
Erlotinib,0,,rna,CTBP2,0.000507715470928895,IntegratedGradients
Erlotinib,0,,rna,APBB1IP,0.0004566351694355438,IntegratedGradients
Erlotinib,0,,rna,SH2D3A,0.0001118792106863036,IntegratedGradients
Erlotinib,0,,rna,PDGFRB,0.00039747189072311814,IntegratedGradients
Erlotinib,0,,rna,ATP1B1,0.0002259198314420684,IntegratedGradients
