feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.001795769235257402,True
AATK,,,,0.01763580368848215,False
ABCA3,,,,0.004239033525259303,True
ABCC3,,,,0.013697271722523597,False
ABCC4,,,,0.002462605965140373,True
ABI1,,,,0.02751146778050242,False
ABL1,,,,0.01657219311227685,False
ABL2,,,,0.010174270750261402,True
ACACA,,,,0.0033011865411491435,True
ACACB,,,,0.0011780873886584854,True
ACOXL,,,,0.009594619226218471,True
ACSL6,,,,0.019031659985601683,False
ACVR1,,,,0.028468727184094385,False
ACVR1B,,,,0.0130616771885329,False
ACVR1C,,,,0.029330147791925516,False
ACVR2A,,,,0.015725542597251382,False
ACVR2B,,,,0.029792992563608508,False
ACVRL1,,,,0.011273184550944513,False
ADAM10,,,,0.018695200686001178,False
ADAM12,,,,0.0022794549728560507,True
ADAM17,,,,0.019495657940767495,False
ADAM18,,,,0.020411694925732145,False
ADAM22,,,,0.02630385598232752,False
ADAM28,,,,0.013395841401519181,False
ADAM29,,,,0.011174060994645123,False
ADAM32,,,,0.02470848268655896,False
ADAMTS18,,,,0.0008912011014959168,True
ADAMTS19,,,,0.010059947264700874,True
ADAMTS2,,,,0.013830636848059104,False
ADAMTS20,,,,0.008265776978662135,True
ADAMTSL3,,,,0.0015627412384815044,True
ADARB2,,,,0.03690286089759238,False
ADCK1,,,,0.03339669819941368,False
ADCK2,,,,0.03671975903051798,False
ADCK4,,,,0.004992439996673114,True
ADCK5,,,,0.031233390773365382,False
ADHFE1,,,,0.024526897991344415,False
ADK,,,,0.025248995993512435,False
ADRBK1,,,,0.012193990697392774,False
ADRBK2,,,,0.022909379009125545,False
AFF1,,,,0.02510828050722471,False
AFF3,,,,0.007143345981330692,True
AFF4,,,,0.008859967385303,True
AGAP2,,,,0.013706677351815983,False
AIFM1,,,,0.04822924485094291,False
AIFM3,,,,0.04602684462919171,False
AIM1,,,,0.018375583723072582,False
AKAP12,,,,-0.008627087252041222,True
AKAP4,,,,0.0231906439506649,False
AKAP6,,,,-0.0004973218194333118,True
AKAP9,,,,0.0076638944718469175,True
AKT1,,,,0.015992692011410466,False
AKT2,1.0,,False,0.015938688019885804,False
AKT3,,,,0.03371216944015912,False
ALDH7A1,,,,0.036111650790137326,False
ALK,0.0,0.0042312608436076305,True,0.02064574863341699,False
ALPK1,,,,0.023680705187563156,False
ALPK2,,,,0.012345955281752731,False
ALPK3,,,,0.024314186967892934,False
ALS2,,,,0.007346013999052246,True
AMHR2,,,,0.004915592289614732,True
AMZ2,,,,0.04769366313184597,False
ANAPC5,,,,0.010317544935002908,True
ANGPTL4,,,,0.02038353610775805,False
ANKK1,,,,0.01767853599831791,False
APAF1,,,,0.03510815510195769,False
APBB1IP,,,,0.03926763711163556,False
APC,0.0,0.04584266601488154,True,0.003513738141347424,True
AR,,,,0.010645967376395811,True
ARAF,,,,0.016474316182950022,False
ARFGEF1,,,,0.019109400174537494,False
ARHGAP26,,,,0.00881047128014704,True
ARHGAP29,,,,0.02429686707734832,False
ARHGDIB,,,,0.03126436263758472,False
ARHGEF10,,,,0.0050440206149862665,True
ARHGEF12,,,,0.02101761884472323,False
ARHGEF7,,,,0.022406285864849735,False
ARID1A,,,,0.007432349034293822,True
ARNT,,,,0.02059060066750311,False
ASH2L,,,,0.04388526772372697,False
ASPH,,,,0.014365084962114008,False
ASPSCR1,,,,0.0005942491709785226,True
ASTN1,,,,0.010485444916993408,True
ATF1,,,,0.03365293008416279,False
ATF2,,,,0.011840702109478683,False
ATIC,,,,0.01133097288820563,False
ATM,,,,0.0038813894636025286,True
ATP10A,,,,0.010571116563987737,True
ATP11A,,,,0.010220416424580948,True
ATP13A5,,,,0.013398856566946487,False
ATP5S,,,,4.385141608140287e-06,True
ATP8B1,,,,0.01763074566912568,False
ATR,,,,0.009057694184540999,True
ATRX,,,,0.01389888069045674,False
AURKA,,,,0.0009852279702722735,True
AURKB,,,,0.037135645575352046,False
AURKC,,,,0.05608540626396867,False
AXIN1,,,,0.024443589874675344,False
AXIN2,,,,0.02173905313448885,False
AXL,,,,0.009667655886994695,True
B3GALT6,,,,0.029088406456768454,False
BAD,,,,0.06699347149904399,False
BAG4,,,,0.015344358726883518,False
BAI1,,,,0.013533207597788867,False
BAI3,,,,0.011729948711157682,False
BAK1,,,,0.00027507079543245914,True
BAP1,,,,0.008177987151050592,True
BAT3,,,,0.014945053236562448,False
BAX,,,,0.023673076413723657,False
BCAR1,,,,0.05831568894809853,False
BCKDK,,,,0.013957875821739135,False
BCL10,,,,0.029476293085128936,False
BCL11A,,,,0.007414220891915742,True
BCL11B,,,,0.008622731314182902,True
BCL2,,,,2.1778153122798912e-05,True
BCL2A1,,,,0.10041448265382698,False
BCL2L1,,,,0.02697732451783835,False
BCL2L11,,,,0.037185476765020806,False
BCL2L2,,,,4.359277920108438e-06,True
BCL3,,,,0.03143255969419522,False
BCL6,,,,0.012840643986896938,False
BCL7A,,,,8.747466128424987e-06,True
BCL9,,,,0.012910303421921471,False
BCR,,,,0.02490246041806014,False
BGLAP,,,,4.38514160814029e-06,True
BID,,,,0.00027001871082020035,True
BIK,,,,0.028639000732621635,False
BIRC2,,,,0.014426172181684937,False
