sample_id,variable,class_label,probability,known_label,predicted_label,split
BCP-1,Erlotinib,,,,0.0,train
EHEB,Erlotinib,,,,0.042005881667137146,train
KMRC-3,Erlotinib,,,,0.014703050255775452,train
KOPN-8,Erlotinib,,,,0.0509854257106781,train
Hs 751.T,Erlotinib,,,,0.0061735669150948524,train
Namalwa,Erlotinib,,,,0.0128798708319664,train
HH [Human lymphoma],Erlotinib,,,0.0,0.002754159038886428,train
T84,Erlotinib,,,0.0637663383324368,0.06864242255687714,train
8505C,Erlotinib,,,0.0308762725344076,0.02591092325747013,train
PCM6,Erlotinib,,,,0.014401458203792572,train
BICR 18,Erlotinib,,,,0.20029491186141968,train
KHM-1B,Erlotinib,,,0.049218625041717,0.037477150559425354,train
HCC1428,Erlotinib,,,,0.06765536963939667,train
TGBC11TKB,Erlotinib,,,,0.10827705264091492,train
BFTC-909,Erlotinib,,,0.0269900860312162,0.009363973513245583,train
KM-H2,Erlotinib,,,,0.00491271773353219,train
DMS 114,Erlotinib,,,0.0,0.005403360817581415,train
Hs 936.T,Erlotinib,,,0.0146312556470704,0.016358651220798492,train
OVCAR-8,Erlotinib,,,,0.004724313039332628,train
SK-N-SH,Erlotinib,,,0.0330358225676597,0.01171287801116705,train
EWS-502,Erlotinib,,,,0.022167719900608063,train
Hs 706.T,Erlotinib,,,,-0.001486046239733696,train
HuH-28,Erlotinib,,,,0.03558634966611862,train
JHOS-2,Erlotinib,,,0.0096661428907013,0.02235649898648262,train
COV434,Erlotinib,,,,0.05419040471315384,train
Rh30,Erlotinib,,,0.0078888326839729,0.015786798670887947,train
SCaBER,Erlotinib,,,0.25850831113567,0.21714384853839874,train
CAL-120,Erlotinib,,,,0.07052715122699738,train
VMRC-LCD,Erlotinib,,,9.30474122692297e-16,0.019457362592220306,train
Karpas-299,Erlotinib,,,0.0265723504029587,0.03925678879022598,train
NCI-H596,Erlotinib,,,,0.08483052253723145,train
SNU-349,Erlotinib,,,,-0.0020378842018544674,train
AML-193,Erlotinib,,,,0.052651066333055496,train
PL45,Erlotinib,,,0.0629719252063515,0.05791575834155083,train
HuP-T3,Erlotinib,,,0.0448855558355754,0.05309756100177765,train
COLO 684,Erlotinib,,,,0.040646012872457504,train
JHOC-5,Erlotinib,,,,0.1679084300994873,train
LN-235,Erlotinib,,,,0.07701484858989716,train
RERF-LC-A1,Erlotinib,,,0.039469144135859,0.015797149389982224,train
BHT-101,Erlotinib,,,,0.04806426167488098,train
G-402,Erlotinib,,,0.0035938457120128,0.0023670513182878494,train
PaTu 8988s,Erlotinib,,,,0.06103832647204399,train
SK-N-DZ,Erlotinib,,,0.0023759306412319,0.0002464532444719225,train
KP-2,Erlotinib,,,0.0396461943962427,0.027068763971328735,train
SW1353,Erlotinib,,,0.0042658209862159,0.004708342719823122,train
Panc 10.05,Erlotinib,,,0.0565475629518381,0.048094410449266434,train
U-178MG,Erlotinib,,,,-0.007419748697429895,train
647V,Erlotinib,,,,0.05330704525113106,train
Hs 611.T,Erlotinib,,,,0.02592693269252777,train
KMRC-2,Erlotinib,,,0.0557129797932296,0.006467519327998161,train
TE 441.T,Erlotinib,,,,0.010578641667962074,train
JK-1,Erlotinib,,,,0.07396407425403595,train
HDQ-P1,Erlotinib,,,0.204718307811704,0.20461814105510712,train
HCC78,Erlotinib,,,0.0077521003033489,0.018402546644210815,train
HLF-a,Erlotinib,,,,-0.0023384648375213146,train
VMRC-LCP,Erlotinib,,,,0.17808465659618378,train
