,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86
KALS-1,0.84479195,0.10429089,0.44142148,-0.49231154,0.054028966,1.0785098,-2.2036414,-0.69210017,2.4665012,1.6088915,-0.86259896,2.685342,1.3590734,-0.4426641,0.7809731,1.5363818,-0.9306037,0.047552824,-0.005984122,0.86963725,2.0696294,-0.87025356,0.31333023,0.17279342,2.1322331,0.30008692,1.2860905,1.7541844,0.04329119,1.9827198,-0.32534003,0.13252842,0.9422206,0.5645419,-0.23933002,-0.88534474,0.96468264,-0.84630704,0.60384774,0.23009948,-0.21749793,0.6197799,0.91042095,1.3427267,-0.3287168,-0.014038958,-0.79781103,1.2028575,-0.6909436,1.3162929,-1.2221478,-0.40090972,0.59855205,-1.4721313,0.10880926,0.3541027,-0.08076908,0.87932,-0.5346631,-0.7386361,0.57106996,1.7113318,-1.3672836,0.49290243,0.29823428,-2.458024,-0.31356084,0.82390153,0.74812096,-0.26134843,1.1152902,-0.90828717,-0.45460808,0.49011827,0.20564736,-0.014801098,-1.3002478,0.29737976,-0.78363156,0.0873161,-0.54864067,2.075828,-0.24793735,-0.35429925,-0.72324055,1.0743175,-0.9418464
SCaBER,-2.0038078,-0.9650483,1.3662314,0.8983112,-0.13897848,1.5164152,0.432059,0.2109454,-1.3125633,-0.2891076,0.43768948,-1.2494696,1.2749937,0.9202279,1.6312966,-1.1860529,0.21113095,-1.4188215,0.94476897,1.2943941,-1.4674859,-0.76039505,-1.1725508,1.5309664,-0.9673593,1.5919856,0.034532506,-0.16592073,-0.7007596,1.1598438,0.8517722,-0.08372188,-0.44457054,-0.8219044,0.19587168,1.562839,-0.70177853,-0.37724692,-0.80754876,2.8177748,-0.4039248,-1.5335097,0.25814545,-1.420106,-0.119142205,1.5835093,-0.75952405,-0.037205752,0.09762593,1.2484143,-0.9577952,0.44238946,0.10597836,-2.1024687,-1.7011194,0.91742724,0.96798027,-0.6596019,-0.12669696,0.26129416,-1.2367427,-0.66641206,-0.63462734,-0.61418265,0.34506246,0.45464426,-0.7997448,-0.9312379,-0.5374848,0.13990736,2.4709253,-1.5493461,-0.21863717,-0.56472003,0.55732834,-2.0802937,0.11799232,0.84693193,-0.32678092,-0.41228092,0.24656747,-1.3452821,-0.15747848,-0.3136264,-0.5592236,0.26880878,1.2385174
UM-RC-2,1.8681759,-0.04646592,-2.1923506,0.37988058,0.21202049,0.7986603,-0.6104286,-2.066005,-1.7307009,-0.62476563,0.28769597,-0.4501407,0.7567707,-1.0582772,-1.6885624,-2.8539186,-0.08882646,2.7225904,-0.23301585,1.9565728,-2.0930736,-3.416918,-0.39509353,0.32776082,0.349665,1.2646836,-1.0090429,1.7138667,0.6640796,-1.3527468,1.217074,0.1546003,-1.7982851,3.028215,0.4800795,-0.3139871,1.8658937,-2.7239723,1.9631001,1.529184,-0.3056932,-0.50142944,-1.0758096,0.667168,-3.6852214,1.1784371,0.5287694,-0.42862418,0.26110685,1.1634092,1.8955338,-2.248926,-1.856901,-2.6279893,1.4348478,2.2996223,1.729076,-4.056211,0.46347517,1.7010748,-0.33552837,-1.925124,-2.698678,1.8541393,1.3944579,-0.00044097006,0.5380424,1.3847321,-1.2348948,-0.38931668,-3.4238644,0.12546349,-0.93064696,1.2326411,1.0275509,2.1632152,0.5833548,-0.36251837,-1.2281294,-1.5840045,0.7678567,-2.1351044,0.9566926,-1.2658043,-0.15160818,-4.2812357,-0.7881964
DU4475,-0.31592414,-0.18611896,4.338934,-1.9820503,0.2793342,1.7399505,-0.12111707,-2.7714953,0.5516679,-1.5207148,0.6900445,-1.6446105,1.0253742,-0.8742835,0.032809947,-2.3706474,2.2076743,0.21987465,-0.68585014,-2.2742867,-2.4672031,3.1301663,-0.5457323,-0.62531006,-1.2846844,-3.4926443,-2.1828613,-0.966894,0.5095372,1.3684069,-1.5170407,0.23187074,-0.42149448,-0.1992708,-0.3288448,0.45382524,0.9514771,-1.2572165,0.58615065,0.8463891,-0.1562018,0.050247073,0.6301995,1.6448846,0.907401,-0.77222496,1.1349512,-3.0472949,0.21170878,-1.9098791,1.3070327,-0.6214062,-3.215027,4.478529,-1.992566,-0.16394548,1.8755566,0.101915084,-2.717467,2.2197745,-0.26523915,0.6136771,2.1515875,2.4999864,2.333696,0.55447316,-2.3408747,-0.08987257,-0.86775637,1.6031953,-1.3075564,-0.4897837,-2.0087543,-0.5242215,0.96344423,1.6961957,-1.1755972,-1.376867,1.2676561,0.048559595,1.4718764,0.3640431,-0.8460914,1.4924514,0.68070114,-0.69144917,-1.998784
COLO 205,-0.5237006,-0.80216193,1.0329814,-0.649127,-1.8952913,0.8295724,0.5951228,-1.0273789,0.39580223,0.49280876,0.8708317,0.5020305,-0.55484664,-0.36557007,-1.2639596,-0.5831926,0.53321576,-0.21674052,-2.078303,-2.8407545,-1.3165188,0.66437685,1.165863,0.01156183,0.06100783,-0.9029634,0.008502876,-2.0399058,-0.6228317,-0.6068742,-0.6889583,2.3959403,1.4941564,-1.8242524,-1.6196967,-1.2039475,-1.118759,-0.08963752,0.45775703,0.22308378,1.1220727,0.9758736,0.695396,0.27588397,0.14961609,-0.33237028,-0.3320433,-2.3456914,-0.5849388,1.1824819,-1.206087,-1.439976,-1.9405739,1.7999872,-0.5485112,-0.56837124,-1.141764,0.67610085,0.130079,-2.4775908,0.44108108,-1.5179894,-0.15229249,-0.4133476,-0.5758743,0.22676918,0.04186884,-0.39555866,2.6979828,-0.9088404,-2.0918317,-0.15003406,0.17613415,-0.76954216,0.27449793,-0.5355053,1.4579822,-2.039737,0.871348,-0.9438088,0.6920103,-2.7264838,-0.012123365,-0.056009375,0.1602963,-0.03345456,1.3589734
NCI-H1581,0.06831992,1.5475625,-1.2758604,-0.8588775,-1.0824049,0.4624823,1.6273698,0.9633781,2.2412074,0.2833249,1.8470913,-0.018998753,-2.9614923,-0.6615331,-0.3272763,2.3659327,-1.5387609,-1.4371738,-0.93203455,-0.6235358,0.50133765,-0.6247391,-0.52874404,1.1919557,0.5682761,0.61591065,-0.71771735,2.2342262,-1.8587742,-0.8373311,0.9530287,-0.43928814,-1.9806751,1.7971603,0.88188934,-0.25045606,0.44880813,-0.9900375,0.4712824,0.8771976,-0.51900893,0.44490758,-1.3162547,-0.1398533,0.5745051,2.187736,0.2670223,0.8951745,0.5757022,-1.5020512,3.0700786,0.6543221,0.023005769,1.2180504,3.5348437,-0.44804746,0.17165995,0.79923,0.13021907,-0.8315341,-1.3387955,0.8125684,1.4901115,-2.2551773,-2.0404441,1.0770154,0.0018219874,1.7334886,0.5153937,0.0627873,0.46173635,-0.39563408,0.6660791,0.047070563,0.41581085,0.7661409,2.8058805,-0.86122406,-0.20704883,1.2043593,-2.0562952,2.778212,-0.79035497,1.995304,0.9507956,0.6930425,-1.7281063
SW1463,-0.81039023,0.07652827,0.07235964,1.7290345,-0.09601307,0.22516772,-0.9252391,-2.775766,-0.48655546,0.28205103,0.014265085,-0.22923021,1.8060894,-1.4948752,-2.0437205,-0.3975565,1.0738322,0.76398784,-1.4885588,-0.15373817,-3.304391,-0.013176295,0.11845366,0.85360587,1.2340835,-0.73891735,0.95101124,-1.4799048,0.9299835,0.14465368,-1.0690897,0.07575978,0.83193576,-1.7414333,-0.88588846,-0.6392734,-1.4563806,-0.9657742,1.330211,2.087532,-0.00339254,1.7276616,0.9793239,-0.37412232,-0.33004397,-0.94397336,0.7032855,-4.060287,-0.44594264,0.70494556,-0.089664266,-0.9214938,-1.1200086,2.1671143,0.03191202,2.8638873,-0.1373429,0.5806999,-0.052886307,0.48696372,-1.4003195,-1.092688,0.65175,-0.58546036,0.070328385,0.28125614,1.1486158,0.35076395,0.9659364,-0.44131136,-2.1931632,0.81426805,0.58728874,-1.5086881,0.43141818,-0.1656545,0.5890244,-1.0316792,-1.005914,-2.56299,1.1691365,-3.4629226,1.0012586,-0.3693406,-1.0875746,-0.93362737,1.081211
MKN45,-0.59860235,0.5927113,0.14901228,0.6740765,-0.49013555,-0.12578396,0.4961886,-0.7919536,0.0038093925,1.2357066,0.8537416,-0.101576656,-2.5857267,0.50538146,-0.6100714,0.26378354,-0.47991714,-0.93639165,-2.1455438,-3.5398533,0.3116967,0.07766767,3.398692,0.30838272,0.11689007,0.11868939,0.39051256,-2.050199,-1.5957414,0.426045,0.82437795,0.26945883,-1.0683088,-2.010711,-1.0437953,-0.08359663,-1.689161,0.23235442,-0.32450238,1.5674897,1.1483845,-0.20325151,-0.29087466,-0.73310757,0.83645946,0.8440188,0.0013520075,-2.2776723,-0.051533304,0.6133552,-0.5177733,-0.11047377,0.13053831,2.175574,0.14551067,0.9015532,-2.2909815,0.767166,1.0360934,-2.6617951,-1.3805397,-0.4872441,0.57176113,-0.707242,-1.0128993,-0.03740474,1.4759067,0.3468129,3.1032763,-1.4803747,-0.51882243,1.0910732,2.1454127,-0.85897034,-0.44813997,-0.027296185,1.7630564,-1.1672437,-0.32607317,-1.0838953,-1.2645649,-1.0065289,-0.31324357,0.95097756,0.7469273,1.1067271,2.3987072
CHP-126,1.4405736,0.42501295,-0.7301987,0.07292997,-1.4230767,-1.062982,1.5173459,0.07401682,1.2497979,-1.7099046,0.3339943,-0.6472652,-0.28606513,-0.2771371,-1.273342,1.379343,0.3582196,0.23901674,0.5047569,-0.6533701,0.008655414,0.42746973,2.2863507,-0.7303945,-0.3910101,-1.8717358,0.5641265,3.4059427,-1.7788626,-0.60637844,-2.9912283,0.12867916,0.6244486,0.27357897,0.5431493,2.9859939,-0.3477368,0.1735689,-0.7697904,-1.0117296,0.42199665,-0.14491066,1.3360462,0.11912754,-2.6058106,0.93661046,-0.2495063,1.5498904,-0.20727928,-1.2829394,2.6802452,-1.0774884,-0.30467027,1.9030458,0.1729898,-0.728,1.1607994,0.34984583,-0.76463336,1.2083243,-0.46352988,0.054598376,-1.0009857,0.18936682,2.4316928,1.4195268,-2.9569633,-0.29988915,-0.9705478,-1.496881,0.21983205,-0.85273933,-2.5387223,0.62196064,-0.34659588,2.5384643,-0.3544508,-2.5786564,2.3253932,2.8638644,0.29625177,1.7192191,0.4184512,1.0034387,-0.17740741,0.362189,-2.222518
T.T,-1.893977,-0.97244906,-0.017050646,0.2670409,-1.1528945,0.809831,1.1497892,0.085411444,-2.6122718,-0.49354315,0.63883454,-1.704192,0.5645709,1.1801722,2.4954777,-0.9235095,-0.4054173,-2.6616566,0.94228745,0.02970537,-1.5660553,0.44618475,-0.9873556,1.5547662,-0.006781075,0.0050681913,-1.8995978,-0.6623185,0.008856531,-0.613476,-0.18395755,0.07624664,-0.3817914,-0.37615865,-1.4179705,0.05524636,-0.8867072,-1.7521274,-1.4025384,2.025778,-0.022064518,0.39347553,-0.16130443,-0.06510019,0.21868719,0.9837614,0.61323535,-1.5112005,-0.492927,-0.4096073,2.2188199,0.67472285,-0.6278237,-0.90230685,-1.1321354,1.3474274,0.17258815,-0.80604583,-1.196161,-1.9509761,0.31362146,-0.9848223,1.5043535,1.4733137,-0.48558056,0.1911947,-1.278426,-0.70905435,0.7495535,-0.56270355,0.31953844,-0.64329034,-0.5138991,0.54947746,-1.3760253,0.938408,0.269966,-1.1874533,0.7101119,-1.8466693,0.23351574,-0.62830555,1.2782106,-0.15696359,1.6429118,-0.19170712,1.59713
