target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,TNFRSF17,0.00016854832066799072,IntegratedGradients
Erlotinib,0,,all,SOX10,0.00021496473259414192,IntegratedGradients
Erlotinib,0,,all,IKZF1,0.00015845442030603803,IntegratedGradients
Erlotinib,0,,all,BTK,0.00026243377610057667,IntegratedGradients
Erlotinib,0,,all,VPREB3,9.828545588115045e-05,IntegratedGradients
Erlotinib,0,,all,YAP1,0.0003946285425360431,IntegratedGradients
Erlotinib,0,,all,MLANA,0.0001845953912474489,IntegratedGradients
Erlotinib,0,,all,MZB1,0.00012854184160479752,IntegratedGradients
Erlotinib,0,,all,KLF1,0.00016342301646913045,IntegratedGradients
Erlotinib,0,,all,GRHL2,0.0003483625950314207,IntegratedGradients
Erlotinib,0,,all,SPIB,0.00036466482630390914,IntegratedGradients
Erlotinib,0,,all,PHOX2A,0.00014756844710822614,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0002423438624990333,IntegratedGradients
Erlotinib,0,,all,CCN1,0.0010417353551649593,IntegratedGradients
Erlotinib,0,,all,MYB,0.000582309933642924,IntegratedGradients
Erlotinib,0,,all,RHOH,0.00029812310531994717,IntegratedGradients
Erlotinib,0,,all,LGALS4,0.0002559871785064016,IntegratedGradients
Erlotinib,0,,all,GNG12,0.00046430886228286905,IntegratedGradients
Erlotinib,0,,all,CD52,0.0002373284006012359,IntegratedGradients
Erlotinib,0,,all,INSM1,0.00028701368588162035,IntegratedGradients
Erlotinib,0,,all,GJB3,0.00023193671701238495,IntegratedGradients
Erlotinib,0,,all,CXorf21,0.00019899815660675714,IntegratedGradients
Erlotinib,0,,all,AZU1,8.227525680058818e-05,IntegratedGradients
Erlotinib,0,,all,CHGA,0.00022261839197765306,IntegratedGradients
Erlotinib,0,,all,ASCL1,9.51027699319218e-05,IntegratedGradients
Erlotinib,0,,all,AXL,0.0008128388976996876,IntegratedGradients
Erlotinib,0,,all,LYZ,0.0004346529959572361,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.00035368036104422456,IntegratedGradients
