sample_id,variable,class_label,probability,known_label,predicted_label,split
KALS-1,Erlotinib,,,0.0361256866594273,0.02999933995306492,train
SCaBER,Erlotinib,,,0.25850831113567,0.19832566380500793,train
UM-RC-2,Erlotinib,,,,0.3440799117088318,train
DU4475,Erlotinib,,,,0.047253385186195374,train
COLO 205,Erlotinib,,,0.0524329965851902,0.04177994281053543,train
NCI-H1581,Erlotinib,,,0.0,0.0,train
SW1463,Erlotinib,,,,0.1687234491109848,train
MKN45,Erlotinib,,,0.027027568716618,0.019854877144098282,train
CHP-126,Erlotinib,,,,0.04713587462902069,train
T.T,Erlotinib,,,,0.15592889487743378,train
KU-19-19,Erlotinib,,,,0.23065410554409027,train
LS1034,Erlotinib,,,,0.11022807657718658,train
SIG-M5,Erlotinib,,,0.126180404243534,0.13651850819587708,train
LNCaP clone FGC,Erlotinib,,,,0.13257518410682678,train
NUGC-4,Erlotinib,,,0.354495435721132,0.25220999121665955,train
PSN1,Erlotinib,,,0.0351598954778951,0.011875275522470474,train
Hs 746.T,Erlotinib,,,0.0282985266311347,0.02505355514585972,train
CMK-11-5,Erlotinib,,,,0.06134282797574997,train
ALL-SIL,Erlotinib,,,0.0796000295460968,0.08543940633535385,train
JJN-3,Erlotinib,,,,0.06920997053384781,train
NALM-1,Erlotinib,,,,0.09510477632284164,train
COLO 775,Erlotinib,,,,0.01673441007733345,train
COV644,Erlotinib,,,,0.013929760083556175,train
F-36P,Erlotinib,,,0.0167801670068449,0.03231062367558479,train
IM95,Erlotinib,,,,0.1358075737953186,train
PE/CA-PJ15,Erlotinib,,,,0.18187294900417328,train
KNS-62,Erlotinib,,,0.0,0.008338922634720802,train
NCI-H322,Erlotinib,,,0.305784120047208,0.3039286136627197,train
KYSE-270,Erlotinib,,,,0.1975817084312439,train
GMS-10,Erlotinib,,,0.0190540934281724,0.01350458525121212,train
MEC-2,Erlotinib,,,,0.04464498534798622,train
GCIY,Erlotinib,,,0.165499085189246,0.12312009930610657,train
Caki-1,Erlotinib,,,,0.06975176930427551,train
HCC1195,Erlotinib,,,,0.08984375,train
RCC10RGB,Erlotinib,,,,0.11395157873630524,train
SW1116,Erlotinib,,,,0.10640746355056763,train
T98G,Erlotinib,,,0.0234528653048481,0.029905706644058228,train
SK-MEL-30,Erlotinib,,,0.0053500624689049,0.0013273386284708977,train
SW1417,Erlotinib,,,0.0119077730879152,0.020755644887685776,train
NALM-19,Erlotinib,,,,0.0930676981806755,train
NCI-H2228,Erlotinib,,,0.111220297000768,0.10444463789463043,train
U-937,Erlotinib,,,0.0519285040835947,0.07209224998950958,train
BT-20,Erlotinib,,,0.135831213554948,0.12457124143838882,train
DV-90,Erlotinib,,,0.145650783489382,0.1207844689488411,train
IST-Mes2,Erlotinib,,,0.0253521215403125,0.01797230914235115,train
T84,Erlotinib,,,0.0637663383324368,0.15202650427818298,train
NCI-H510A,Erlotinib,,,,0.13841009140014648,train
NCI-H838,Erlotinib,,,,0.05654417350888252,train
NMC-G1,Erlotinib,,,,0.06414008885622025,train
NCI-H2085,Erlotinib,,,0.0529470600289252,0.07056812196969986,train
HEC-251,Erlotinib,,,0.0692984705132535,0.04891414940357208,train
SNU-1105,Erlotinib,,,,0.019585298374295235,train
YD-10B,Erlotinib,,,,0.15901976823806763,train
WM793,Erlotinib,,,0.0280512493673766,0.026869013905525208,train
HCC1897,Erlotinib,,,,0.24576318264007568,train
HL-60,Erlotinib,,,,0.11311669647693634,train
HuH-28,Erlotinib,,,,0.019982080906629562,train
PC-3,Erlotinib,,,0.0519043608550188,0.14873121678829193,train
Calu-3,Erlotinib,,,0.139699599142118,0.14626413583755493,train
COLO 201,Erlotinib,,,0.0207212995375924,0.021593114361166954,train
JHH-4,Erlotinib,,,0.0546806254132545,0.04438770189881325,train
A-204,Erlotinib,,,0.0132449010203385,0.019221920520067215,train
BV-173,Erlotinib,,,,0.11490511149168015,train
Mel Ho,Erlotinib,,,0.0213248501074773,0.014444355852901936,train
HuT 102,Erlotinib,,,,-0.02749977447092533,train
MHH-CALL-4,Erlotinib,,,,0.0930711030960083,train
OV56,Erlotinib,,,,0.034655749797821045,train
MG-63,Erlotinib,,,0.0061146008053855,0.0,train
Toledo,Erlotinib,,,0.0,0.0164863970130682,train
BICR 18,Erlotinib,,,,0.1797967106103897,train
SW620,Erlotinib,,,0.0032287547729638,9.940723248291761e-05,train
SNU-C1,Erlotinib,,,,0.15247130393981934,train
HCC1588,Erlotinib,,,,0.1993730366230011,train
HARA [Human squamous cell lung carcinoma],Erlotinib,,,0.1139355773964,0.08542212843894958,train
HCC366,Erlotinib,,,,0.19178906083106995,train
P12-Ichikawa,Erlotinib,,,0.0423395601743679,0.07891037315130234,train
HEC-1-B,Erlotinib,,,0.067324354538357,0.046476416289806366,train
CGTH-W-1,Erlotinib,,,,0.016944658011198044,train
ONCO-DG-1,Erlotinib,,,0.142880133312072,0.1270555555820465,train
HT-55,Erlotinib,,,,0.17473533749580383,train
B-CPAP,Erlotinib,,,0.0266103192388467,0.010443469509482384,train
JHH-1,Erlotinib,,,,0.15086039900779724,train
KG-1-C,Erlotinib,,,,0.054468199610710144,train
KYM-1,Erlotinib,,,0.0,0.001685234485194087,train
MOLM-13,Erlotinib,,,,0.11730118840932846,train
U-178MG,Erlotinib,,,,0.05398409068584442,train
BL-70,Erlotinib,,,0.0071939968305693,0.011562091298401356,train
OCUM-1,Erlotinib,,,0.0,0.009337862022221088,train
OCI-Ly3,Erlotinib,,,,0.07428395003080368,train
P3HR-1,Erlotinib,,,0.0,0.014462779276072979,train
CAL-148,Erlotinib,,,,0.12760014832019806,train
MOLP-2,Erlotinib,,,,0.05158403143286705,train
Hs 578T,Erlotinib,,,0.0132344841789967,0.014263877645134926,train
BxPC-3,Erlotinib,,,0.11221767317599,0.11647453904151917,train
23132/87,Erlotinib,,,,0.11352096498012543,train
A-498,Erlotinib,,,,0.09594685584306717,train
CW-2,Erlotinib,,,,0.28077414631843567,train
TEN,Erlotinib,,,0.0,0.04604065790772438,train
NUGC-2,Erlotinib,,,,0.10196088254451752,train
CAL-54,Erlotinib,,,,0.2272815704345703,train
HCC202,Erlotinib,,,,0.11332821846008301,train
DAN-G,Erlotinib,,,,0.12614741921424866,train
Ku812,Erlotinib,,,0.0324607245661844,0.05550672113895416,train
NCI-H2029,Erlotinib,,,,0.19453775882720947,train
BJ1-hTERT,Erlotinib,,,,0.05862286314368248,train
SNU-16,Erlotinib,,,0.0470671048886958,0.05700353533029556,train
RD-ES,Erlotinib,,,,0.06254852563142776,train
HCC-56,Erlotinib,,,0.0570985978077439,0.05927462875843048,train
COLO 684,Erlotinib,,,,0.13617201149463654,train
COV318,Erlotinib,,,0.0,0.0011938826646655798,train
MKN7,Erlotinib,,,0.0105335504075689,0.021211307495832443,train
Hs 695T,Erlotinib,,,0.0027959688318722,0.010818402282893658,train
HCC4006,Erlotinib,,,0.492663395066886,0.13468442857265472,train
SNU-324,Erlotinib,,,,0.06557459384202957,train
CAL-120,Erlotinib,,,,0.1311493217945099,train
RS4;11,Erlotinib,,,,0.07183950394392014,train
MEG-01,Erlotinib,,,0.0118702428342499,0.021271158009767532,train
HDQ-P1,Erlotinib,,,0.204718307811704,0.14672614634037018,train
SK-MEL-24,Erlotinib,,,0.0174420687459357,0.017109276726841927,train
Hs 571.T,Erlotinib,,,,0.0888667106628418,train
Hs 611.T,Erlotinib,,,,0.021909035742282867,train
RERF-LC-Sq1,Erlotinib,,,,0.015885453671216965,train
NCI-H716,Erlotinib,,,,0.022690096870064735,train
NCI-N87,Erlotinib,,,0.0916116474473374,0.06947936862707138,train
