,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125
JHOS-4,1.5754786,1.3606312,-0.13688989,-2.0858386,-0.071297415,0.7656784,-2.8015451,3.316002,-0.54163045,-0.60500914,-2.7283998,-0.90449685,-0.89138526,0.5248854,-0.6597983,0.77696544,0.28275317,-0.1661675,-0.581959,-2.173196,1.494903,1.2836764,0.09131866,2.2296853,0.8561871,-0.050805703,-0.2999342,-0.73513144,2.0379014,1.3713216,-1.1418735,-3.010839,0.5611656,1.4938622,-0.059581064,0.44126335,2.7585452,-1.5023677,-0.5524904,-1.7168541,0.91087323,1.5973879,-2.017086,-0.7182131,-1.6319704,2.162848,0.04705803,-0.009152457,-2.3043838,1.1129205,1.0722835,2.6189463,-2.286934,-3.5832405,0.24304071,1.0866704,0.09296624,0.72235304,0.56889516,-0.1083686,-0.39923358,1.0225095,-1.3115048,-0.12645885,1.126076,1.1551499,-2.767655,-0.4493512,-1.2224824,0.5411652,4.1886263,1.5632772,3.0860727,1.8262278,-1.8377837,-1.2481915,1.1464982,-1.3352212,-0.4314624,1.227828,-1.7697232,-0.60031646,-0.9127958,-1.0460951,3.7917862,-1.4502822,-1.5064373,0.08216174,-1.1143141,1.6059593,0.8834049,2.8017793,-0.35584506,-0.3148709,0.3662938,-2.3383322,-1.1775177,0.73177975,1.8035342,1.6555018,0.004273206,-0.50285363,0.24949434,1.0791492,0.09174793,1.722481,-0.8359303,-0.18280445,2.556136,1.4598722,-1.0677216,-0.7614348,-1.7834929,-2.259152,-0.5196572,1.1333171,1.096933,1.9779162,3.0293584,1.1995069,2.1438553,-0.84543943,-0.97188973,0.6315868,1.0210202,1.806062
SNU-81,1.8052754,1.3687843,0.37606654,2.5519314,0.9542307,2.2942178,2.4490974,-0.19515246,-1.6185274,-0.57712275,2.271208,0.30922034,-2.1553464,0.4266455,-0.87588257,-0.071695685,0.7171109,1.2412643,-1.715244,-2.6653924,-1.4158957,1.7345386,0.19550613,-0.32651415,0.5921826,2.22441,-3.0059085,1.4523871,-0.6274595,-0.14815947,1.2757672,0.7189145,1.4480449,1.3557693,3.386186,1.9167342,-3.4551225,2.5823302,-2.0431352,-1.5068556,3.0368025,-2.6696465,-0.22196299,1.5089172,-2.2862716,-2.2289565,-0.026962759,0.49996775,-0.058306076,-1.8040341,3.378802,-0.6662076,2.580119,3.485261,0.082862,0.6401353,-1.2114403,-0.5919742,0.87264335,-3.6497858,3.954473,-0.95130455,0.724243,-0.7174938,1.6223855,0.23284334,0.24962406,1.8642871,2.5196197,1.9236877,3.553756,0.82254064,-1.7222927,-1.8025008,-0.18781243,3.4245844,1.0988868,0.49281064,0.65111,-0.94841385,-3.2085276,-0.28831854,0.043530717,0.4421855,0.85798955,1.7228004,-1.5024525,-2.246986,0.34082794,-1.6624194,-0.033399876,1.4432992,0.8386502,0.6866345,-0.9942781,1.272345,0.03614016,1.5087599,-0.72389436,-3.440898,-0.6729783,-1.7800621,-1.5171396,1.0858306,-1.9566032,-0.10871793,-2.2722359,1.0789146,-2.1669924,-0.8626913,0.21719933,-0.40252286,0.16206647,-0.6326812,1.9693843,-0.26770654,1.1555923,-0.6702899,1.9644451,-2.4103327,0.8545704,-1.3052855,-2.967128,1.8584064,-0.7455394,-1.0453472
NUGC-4,6.0040383,3.0149379,2.1384282,-0.5125128,-2.1272135,1.4521062,1.817807,-0.22798416,-1.2557487,0.014402891,0.42546985,-1.2217098,-0.37787685,0.41847986,2.5137827,-2.6157837,2.2995965,-0.45791024,-1.4591964,-0.763044,-2.500725,-0.0057021677,-0.6656424,1.2387512,1.0825151,2.8425467,-3.3500922,3.9543176,0.056617282,3.2515116,1.8710574,-3.8305972,0.5000028,2.959447,0.48753724,-1.8939282,-1.601196,0.5796094,2.2415535,-1.223894,1.972201,-0.34090272,0.50612646,2.4096532,-1.6642907,2.9594584,3.2576675,-0.82431084,-2.5831978,-0.44030797,-0.5427433,-2.1481013,-0.9941653,1.1609564,1.1344471,-1.0750006,0.61352915,-2.6936562,-2.3988428,-1.456957,0.3369229,0.18700662,-1.8866795,-1.4845904,-0.4483833,1.7952927,-0.106678024,-1.21656,1.0629538,-0.33097398,-0.23836464,-1.2198839,2.8023152,1.5951991,-1.326432,0.32064536,5.1860223,-1.4009594,-1.0948782,3.1374488,0.35988283,0.79817945,-0.5769119,-1.0122188,1.6141531,-4.179378,-2.7064087,-2.331601,1.0118636,2.0898986,-0.8972313,3.6738706,-1.3344151,-3.4744985,0.90511584,2.933075,0.4689226,-1.8757749,2.3543162,-3.8057883,0.16609107,0.06138524,-2.1150832,-0.80543065,-0.56266546,1.3889709,-3.038478,-1.7705268,-0.240511,0.5878775,-0.20016304,-1.4556589,-0.7279027,-0.8555671,-2.338703,-1.9704723,2.7437356,1.4413773,2.634641,-0.9543736,1.1652495,1.2310984,-6.1496973,4.6474333,1.2017322,3.5371635
Panc 10.05,-1.6461933,0.9226299,0.20388782,-1.0171932,0.43746153,-2.162285,-0.17322758,-1.5183537,1.0828981,1.9276196,0.22515512,-0.9085267,1.9121726,0.9700806,2.2197456,2.8796687,0.7206106,0.33654302,-1.2053748,0.41822302,0.75735116,-0.5873294,1.841319,-3.617192,-0.11061731,-1.6203243,-0.4622346,0.5354265,2.085345,-1.4427303,-3.2752547,-2.8044467,0.7628079,-1.5185572,-0.6005397,0.67554045,-1.3465146,0.66282666,-1.4274582,0.8307268,-0.6940161,0.92347986,1.1414179,-0.37706953,1.008569,3.6048942,0.16283175,2.425914,-2.8429687,-0.7281129,1.45263,-4.4342294,0.83388305,0.49152708,-0.18778814,1.0158823,0.5696009,-0.9792383,-0.6802634,-1.1789697,0.6596457,-1.2332728,0.22058964,1.4736255,0.7054166,-0.54425967,-0.9992994,-3.2476227,-2.2019923,1.947665,1.7114965,0.4751535,-1.0111222,-0.3852446,-1.8740312,0.9150093,0.42379713,-1.5977954,-0.08227946,2.3582976,0.37735423,1.152285,2.084707,1.3949679,-1.0723928,-1.7974113,1.0276676,0.78090215,-1.3052253,-1.3469803,1.4802424,0.06028624,-0.75069696,1.6018014,1.0565214,-0.16003115,0.054260895,-0.5909924,0.008515569,0.92371583,-0.9510237,2.2950878,-0.3465138,2.4093199,-0.08533143,1.0662955,-0.64564574,0.3139172,0.33587995,0.85341966,-2.6676676,-0.54934967,2.618085,0.55307364,-0.20868057,-1.6163206,-2.0391307,1.8556194,-0.5281881,0.5353023,-1.3494629,-0.49831623,-1.592097,0.92977726,-2.0807862,-1.3840533
KMS-20,-0.90300596,-0.8827003,0.29179454,0.692575,-2.3389802,-0.76367956,0.13833725,0.9654057,2.1018035,1.6717309,-1.9496179,0.4073087,1.0215867,-0.8691357,-2.1592546,0.98853266,-1.2511231,1.2997607,1.127333,-2.3771126,-3.9657314,-0.07376352,1.9051265,-0.5423603,2.4900274,0.33627114,0.25028425,-1.2149566,-3.0785859,0.4821619,1.5840298,0.65479016,0.93513596,1.8322797,-0.10472675,0.7453621,-1.0400265,0.83330595,-2.9679337,0.8869184,0.23489544,-2.4234345,1.1475027,0.05154416,-1.3591586,-1.9471433,-1.0473988,0.07593718,-0.21107419,-2.5799954,-0.8748073,0.32946724,0.818932,1.4832613,-0.046514183,1.3618683,1.4269533,-0.59407,0.55680364,1.3223839,-1.7757794,0.411216,-1.0681125,0.9517564,1.8232199,0.47391176,0.1997977,-1.1714594,1.2311257,-1.8064847,-0.8022201,1.3693583,0.7419657,-2.337671,-2.8521075,0.48329645,-0.24109754,-2.2463164,1.1514597,-0.48967034,-1.035241,-2.4898152,-0.7878859,0.92226934,1.8334751,0.32414177,1.3769215,0.5614889,-0.16507058,-1.0422993,1.0260946,-2.06761,-0.7738248,-2.0898364,0.38820094,-1.8109982,-2.890339,-2.0172713,-0.3739719,1.4162258,0.63035107,0.8116725,-1.621569,0.9811285,-2.1551359,0.2349257,-1.4769001,-3.1484983,-1.0136108,-0.50094956,-1.5182873,1.9910322,-1.6055878,-1.8816609,0.13174146,1.2474103,-2.1362362,-0.20450841,-0.5201639,-1.3146905,0.5822402,2.3578353,0.13836317,1.2047601,0.9655404,-0.40922803
NCI-H28,2.592186,2.7725718,-0.49392325,0.65842867,-2.8533397,0.44060043,0.48053297,-0.3527456,-1.3880001,-1.4441968,-1.9787183,-0.29202607,0.90353376,-1.3669118,-0.06560982,-0.34918395,1.4652814,-2.5351262,-1.7547863,-1.6584077,0.5444657,-1.1981776,-0.77265984,2.7229416,-0.19854473,1.384261,0.73728764,1.3547739,0.023197178,4.4812894,0.12757558,-1.5807619,0.87955016,0.7448544,-1.4555202,-1.8055606,1.1152824,-1.9430265,2.6943228,-1.5940002,-1.0592979,2.4409986,-0.7751756,-0.73369807,-0.31771645,2.00017,3.750668,-0.75635695,-2.9195244,0.028977472,-0.048845094,-0.7094431,0.77654433,2.7527182,3.7115614,-0.16769162,4.7449336,1.2500839,-2.337545,2.023322,-1.5873414,-0.06970605,-1.0591438,-2.2206142,1.4198,0.92115223,0.99630046,0.80445683,0.57052207,-1.5973358,-0.69278085,-0.7499365,1.2208282,3.1081712,-0.7531351,-0.8267473,2.4946308,-1.112198,-1.716721,0.7652542,0.027143242,-2.3658853,-1.1325802,0.93154824,2.6165767,-4.621924,-0.2501047,2.1274939,1.9170719,3.2908175,-3.1892154,1.1825473,-1.569062,-2.975805,0.90307516,1.9547793,-0.9686572,0.4944179,2.0316584,-2.857572,0.1955313,1.1596736,-2.0029573,-2.5407884,-0.052724022,-2.1094968,0.10657056,-1.0028317,2.2545724,1.0029974,1.2666205,2.830321,-3.830221,-2.7502248,-0.5609612,-2.3035758,1.9410946,0.91968787,2.410454,0.115704566,-0.9663416,1.317259,-3.6531215,4.0853243,1.2806733,1.9143827
HT-1376,-3.0612948,-2.156009,1.3810487,-1.5279217,0.28555965,-1.0881631,-3.4382758,3.0470653,-0.6915291,-0.14725944,-1.3322998,-1.1304201,0.15216497,-1.8303406,0.13153549,1.0872157,-0.12355086,-0.8983977,-0.8248029,1.5596858,-1.6840858,-2.6268682,1.4259045,-1.4152479,1.0485265,-0.69295615,-0.057463557,-1.1623068,1.2721127,-1.2079648,0.3899522,-1.1346595,0.0055534765,-1.3910257,0.6830395,-0.2520005,0.56791425,-1.047632,0.11940067,0.9188535,0.53445834,3.6132143,-1.0049165,-0.793898,1.7917528,-0.4112888,0.5861792,3.7055764,-3.136482,-0.9418699,-0.31789958,0.6745366,0.4763513,-0.7640431,-0.14994717,-0.07013195,0.75930697,-3.0653696,0.19687289,-2.0441654,-1.0927466,-3.154541,-3.0091922,-0.8570777,-1.6526151,0.71088386,-0.49756488,-1.2956663,-0.7131755,-0.5453549,2.0248835,-0.6681805,0.6429719,0.4504414,2.7209985,-0.7112802,-1.8904837,-0.9082928,0.1459627,0.82437104,1.691232,4.676991,-1.6279057,0.19535372,3.0487783,2.3057714,-0.08848393,2.2856607,-1.1672442,-0.77428186,0.8395006,-3.4594557,0.9890598,1.9626667,-0.19011438,-0.45534706,4.280094,1.5695078,-1.0514389,-0.14814618,-0.5332265,2.926701,4.811626,2.402666,1.2786207,-3.9114134,1.2105042,1.1617444,1.9738206,1.2479318,-1.9257092,-4.3076043,1.5656564,-1.6339996,-3.0081496,-4.388455,-0.7982725,2.4054525,-0.21822649,-1.2683458,-0.31031093,-1.2636647,-2.4073038,1.3005967,-1.3791223,-1.51616
SNU-886,3.7740762,0.43741533,0.81000084,2.138398,2.1363888,1.5058419,0.8397571,-2.5224528,0.27361566,-0.08445694,2.766756,-0.17444046,1.616614,1.6917632,1.002387,-1.4667706,2.0873806,-2.6432827,2.0131688,0.22917482,1.388188,-0.8164521,2.2021554,-0.6589808,-0.53105474,-0.1405192,1.4915912,-0.3544714,-0.15462008,2.7014523,0.34107456,-0.68792,0.50265104,-1.284328,1.238318,-0.42823762,1.22674,-0.94932264,1.7170873,-2.5497313,1.9819336,-0.27180368,-0.35730794,-0.7841997,2.3822215,1.6723067,-0.11443842,-0.58361703,-0.7843522,-0.3564123,-1.0817755,0.8619928,0.5780526,2.1761742,-0.97402,-0.5985765,1.0622065,3.2646422,-0.7930682,0.66081536,1.9299107,3.1805897,1.4997017,2.017731,-0.026993707,-1.7073139,3.3996396,1.1306524,1.4126749,0.59796065,0.4775133,-1.24123,-3.3667276,0.9886487,-0.37338254,4.2086816,0.34191677,0.3546906,1.7899339,-2.6101177,-1.534039,0.06877301,1.5449989,-0.39515185,-1.1601609,0.92682785,2.037183,-0.8163238,1.3380712,0.83570236,-0.27780876,0.75012696,-2.2077572,3.1558049,-0.5943132,1.5649838,-0.4970469,-0.8111606,1.710899,-1.5655144,-1.81635,0.1990608,-0.4479229,-1.370752,-0.6514742,-1.008011,1.508258,3.0704975,-3.3447387,0.41996747,2.0191822,2.7865093,1.0187478,-4.258514,-1.2329948,-0.10408041,2.5066345,-1.1331939,-2.2172809,-1.3965932,-2.5985434,-0.5160122,-1.4016657,0.6270093,1.3383588,1.782576
SKM-1,-2.0051792,0.055156164,1.2420877,-0.61934954,0.044259302,0.1167234,4.0276175,-1.3705901,2.236034,1.8797872,-1.423252,1.2536032,1.7979712,1.8939677,0.17283714,-0.13611022,-1.2827141,2.2886486,0.2152186,-1.9384379,-1.033829,-3.137998,-0.5226276,-0.65985,-0.064312324,-0.005600795,-0.0013208389,1.6763575,-1.7400285,0.6796521,-1.5740621,1.0452539,-0.84813905,0.64869714,1.6890984,-2.530098,0.6893361,-1.2499139,-1.37886,-1.8948652,-0.9991821,-1.8735479,0.30891028,-0.42625389,-0.031052087,-3.4373555,-1.5690365,-0.68905056,-1.7689643,0.050720748,-0.20735264,0.5035139,-3.1056714,-1.4771175,1.6573212,1.6181134,-1.2764308,-2.9241676,1.0236242,0.7582434,-1.2275841,-0.9984089,0.50411105,1.958973,-1.8386143,-0.8324704,-0.8574523,1.7546091,-1.8688228,-2.4721189,-0.8598921,2.03011,0.60803497,-0.68799376,-1.219632,2.116085,2.1387408,-0.80545723,-0.37928927,1.8560735,0.57629156,0.94998455,1.6751546,0.04470151,2.9023035,0.86888975,-1.1161965,1.8781867,1.4915038,-0.8504755,1.9863558,-0.23387828,0.3318242,-1.0752746,0.48164034,-0.6791917,0.20685536,0.69033736,-1.5803846,-0.43830198,0.4991502,0.95269734,-1.1162024,-2.0686667,-0.68342805,0.7240007,-0.04793386,0.6588255,0.12555403,0.77725,-0.06989889,-1.141171,-1.3434759,1.1977919,-1.7447807,-0.42178532,-1.8714913,-0.4584018,-1.7961998,2.185397,0.5025212,-0.07902283,1.4233118,-1.7490486,1.5162977,-0.7447442
Panc 04.03,0.36784822,0.76070195,-1.193498,-0.30917406,0.8857456,-1.1581087,-1.4001986,-0.18280745,-0.5153945,2.262705,0.026926516,0.4447551,-1.9233496,-0.81612206,1.8321173,2.3504946,0.5181361,-0.09157607,-1.4861313,1.4049026,-1.4242864,2.3785133,0.1416802,-1.1053495,1.9827042,-0.6676482,-1.0383669,0.56769526,3.3126965,0.13660914,-2.6299307,-1.935226,0.15774353,0.44033268,-0.3292084,0.69585603,-3.0620434,0.46227798,-2.2277448,-0.34263834,0.5307201,1.4068011,0.87365866,0.4093023,-0.8368219,0.04628732,-1.9636576,0.72125584,-0.7181413,-0.006598754,0.11373253,-3.429442,0.109382436,-0.55270725,-2.4761744,1.7264023,-1.1649544,0.29319304,0.33935556,0.3510227,-0.5792143,-0.25844654,-0.57928675,0.5538475,0.56039476,-0.010365397,-0.69596195,-3.2999332,-1.4264799,0.4997632,1.7566854,-0.07429523,-1.5160495,-0.9879224,-0.3740339,0.16207132,-0.35012335,0.8837207,-1.0577894,0.9105769,0.26154009,0.39053068,0.5109076,0.97315156,-1.7455066,-1.3049489,-1.2421596,0.64873284,0.44708622,0.051964127,-1.588405,2.8509736,0.5395174,-1.2447182,-0.5729842,0.093802236,-0.8531855,-0.21554935,-0.57957464,-0.49746105,0.71445245,-0.11754122,-1.8834558,1.024408,-0.43691382,0.94557565,-0.8882909,-1.1362526,-0.40432006,-0.8627009,-0.025543585,-1.0596619,1.4279348,-1.0272489,-1.2903831,-0.47824016,1.516649,0.97989386,0.1619073,-0.24812372,-0.391014,1.2366601,-2.3561985,2.3263621,-2.242708,0.31959134
