target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,TNFRSF17,0.0001981258962055212,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.0003698063917784592,IntegratedGradients
Erlotinib,0,,rna,IKZF1,0.00043535112128647587,IntegratedGradients
Erlotinib,0,,rna,BTK,0.000287599574433849,IntegratedGradients
Erlotinib,0,,rna,VPREB3,0.0002748897802414952,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.0003462324500774942,IntegratedGradients
Erlotinib,0,,rna,MLANA,0.00020461154255235262,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.0003332072826609668,IntegratedGradients
Erlotinib,0,,rna,KLF1,0.00010911034701968542,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.0007971779257745386,IntegratedGradients
Erlotinib,0,,rna,SPIB,0.00010914938239023321,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,8.562258580235632e-05,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.00022181807736023704,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.0003887484023871515,IntegratedGradients
Erlotinib,0,,rna,MYB,0.0003878051132703077,IntegratedGradients
Erlotinib,0,,rna,RHOH,0.0002537611695155073,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.0003617784282292665,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.00012180477603101842,IntegratedGradients
Erlotinib,0,,rna,CD52,0.00014149838455111019,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.0001544857790525986,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.00028376605560383747,IntegratedGradients
Erlotinib,0,,rna,CXorf21,0.00019021427665367,IntegratedGradients
Erlotinib,0,,rna,AZU1,0.0001958203408995088,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.0004829293722317921,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.00016226974736286334,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0009358986821303179,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.0001279047705937312,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.00048038511279938973,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.0004575113336418999,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.0003847617148322817,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.00027604922273219467,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.00021569316629087838,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.000430853823870164,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.00043252345815175756,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.0005677630711833656,IntegratedGradients
Erlotinib,0,,rna,PRR15L,0.0005435302296174902,IntegratedGradients
Erlotinib,0,,rna,MPZL2,0.0005634496167258121,IntegratedGradients
Erlotinib,0,,rna,ELAVL3,0.0001385959240267964,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.0006592084320394136,IntegratedGradients
Erlotinib,0,,rna,AGR2,0.0001661043873865051,IntegratedGradients
Erlotinib,0,,rna,WIPF1,0.00014652029853479858,IntegratedGradients
Erlotinib,0,,rna,ZEB1,0.0006625607086916484,IntegratedGradients
Erlotinib,0,,rna,GFI1B,0.00027279525499709456,IntegratedGradients
Erlotinib,0,,rna,CAV1,0.00025716746933213824,IntegratedGradients
Erlotinib,0,,rna,VPREB1,8.932599347076232e-05,IntegratedGradients
Erlotinib,0,,rna,SYDE1,0.0010906330573503104,IntegratedGradients
Erlotinib,0,,rna,KLF5,0.00017675270471746038,IntegratedGradients
Erlotinib,0,,rna,LAD1,0.0005304233315762954,IntegratedGradients
Erlotinib,0,,rna,RASGRP2,0.0005082028713667043,IntegratedGradients
Erlotinib,0,,rna,DNTT,0.0004500087544431671,IntegratedGradients
Erlotinib,0,,rna,FOSL1,0.0003646345540573297,IntegratedGradients
Erlotinib,0,,rna,LCP2,9.876253819580303e-05,IntegratedGradients
Erlotinib,0,,rna,DDR1,0.0004884114298823232,IntegratedGradients
Erlotinib,0,,rna,RND3,0.00015206241912525263,IntegratedGradients
Erlotinib,0,,rna,LAIR1,0.0002774183679745183,IntegratedGradients
Erlotinib,0,,rna,PIM2,0.00031587585237351364,IntegratedGradients
Erlotinib,0,,rna,GPX2,0.00038614430524416647,IntegratedGradients
Erlotinib,0,,rna,ELF3,0.0010839114375832712,IntegratedGradients
Erlotinib,0,,rna,ARHGAP25,0.0004131446699822287,IntegratedGradients
Erlotinib,0,,rna,TEAD1,0.001116448126094537,IntegratedGradients
Erlotinib,0,,rna,SFN,0.00021142662700544845,IntegratedGradients
Erlotinib,0,,rna,DSP,0.00026109782819150914,IntegratedGradients
Erlotinib,0,,rna,FLI1,0.0004276900359595746,IntegratedGradients
Erlotinib,0,,rna,S100A2,0.0015394423041503863,IntegratedGradients
Erlotinib,0,,rna,LMNA,0.0002451755526923697,IntegratedGradients
Erlotinib,0,,rna,F11R,0.000882833114797949,IntegratedGradients
Erlotinib,0,,rna,CALD1,0.0005554595293988025,IntegratedGradients
Erlotinib,0,,rna,TSPAN6,0.0008969593002216918,IntegratedGradients
Erlotinib,0,,rna,CYTIP,0.00019047782952187836,IntegratedGradients
Erlotinib,0,,rna,BLNK,0.00041709270118212304,IntegratedGradients
Erlotinib,0,,rna,LOXL2,0.0005731498778051652,IntegratedGradients
Erlotinib,0,,rna,TSPAN1,0.00022016372790757701,IntegratedGradients
Erlotinib,0,,rna,CTBP2,0.00038561125422584296,IntegratedGradients
Erlotinib,0,,rna,APBB1IP,0.000400016632924469,IntegratedGradients
Erlotinib,0,,rna,SH2D3A,0.000417439826093781,IntegratedGradients
Erlotinib,0,,rna,PDGFRB,0.00028680699046572036,IntegratedGradients
Erlotinib,0,,rna,ATP1B1,0.0004546431096352693,IntegratedGradients
Erlotinib,0,,rna,CTSL,0.00018231759829366774,IntegratedGradients
Erlotinib,0,,rna,GPR87,0.00023392718284968652,IntegratedGradients
Erlotinib,0,,rna,ATP2A3,0.0007153099697740265,IntegratedGradients
Erlotinib,0,,rna,LY86,0.0005291647695770976,IntegratedGradients
Erlotinib,0,,rna,ANXA1,0.0008193411784301489,IntegratedGradients
Erlotinib,0,,rna,OSMR,0.000642151112094687,IntegratedGradients
Erlotinib,0,,rna,PPL,0.0009958787480075142,IntegratedGradients
Erlotinib,0,,rna,LSR,0.0007113639814253076,IntegratedGradients
Erlotinib,0,,rna,EMP3,0.0002407991912256187,IntegratedGradients
Erlotinib,0,,rna,POU2F2,0.0005173762069078468,IntegratedGradients
Erlotinib,0,,rna,S100P,0.0011162491298110336,IntegratedGradients
Erlotinib,0,,rna,LAMB1,0.0007673479665878865,IntegratedGradients
Erlotinib,0,,rna,CAP2,0.00043649906857483247,IntegratedGradients
Erlotinib,0,,rna,PARVA,0.0009147477437518812,IntegratedGradients
Erlotinib,0,,rna,GPRC5A,0.000227679178624738,IntegratedGradients
Erlotinib,0,,rna,ZEB2,0.0004518619802950458,IntegratedGradients
Erlotinib,0,,rna,SAMSN1,0.00028519048709797757,IntegratedGradients
Erlotinib,0,,rna,PLCG2,0.00045127722285340005,IntegratedGradients
