sample_id,variable,class_label,probability,known_label,predicted_label,split
JHOS-4,Erlotinib,,,0.12377795580422,0.1419752687215805,train
SNU-81,Erlotinib,,,,0.17808324098587036,train
NUGC-4,Erlotinib,,,0.354495435721132,0.3464389741420746,train
Panc 10.05,Erlotinib,,,0.0565475629518381,0.0549125075340271,train
KMS-20,Erlotinib,,,,0.04158932343125343,train
NCI-H28,Erlotinib,,,0.269475623753143,0.29486268758773804,train
HT-1376,Erlotinib,,,0.11419338041038,0.13719525933265686,train
SNU-886,Erlotinib,,,,0.06380506604909897,train
SKM-1,Erlotinib,,,,0.03427163511514664,train
Panc 04.03,Erlotinib,,,0.111468825066676,0.06966056674718857,train
GOS-3,Erlotinib,,,,0.012124070897698402,train
BICR 6,Erlotinib,,,,0.15176013112068176,train
HCC1588,Erlotinib,,,,0.15266510844230652,train
SU-DHL-8,Erlotinib,,,0.0060804652612669,0.01911979913711548,train
TCCSUP,Erlotinib,,,0.0053850991607237,0.01576080545783043,train
T.T,Erlotinib,,,,0.13452737033367157,train
SNU-1033,Erlotinib,,,,0.09747989475727081,train
HSC-2,Erlotinib,,,0.0718212186324384,0.05515304207801819,train
GP2d,Erlotinib,,,,0.15020541846752167,train
EHEB,Erlotinib,,,,0.04324946179986,train
SNU-245,Erlotinib,,,,0.1613350212574005,train
TYK-nu,Erlotinib,,,7.598553230877321e-15,0.008651928044855595,train
SF172,Erlotinib,,,,0.24583715200424194,train
SiMa,Erlotinib,,,0.0,0.004463027231395245,train
HuH-1,Erlotinib,,,0.0410050329319411,0.04857632517814636,train
JH-EsoAd1,Erlotinib,,,,0.20183029770851135,train
NCI-H2405,Erlotinib,,,,0.06312597543001175,train
AZ-521,Erlotinib,,,0.145596979444519,0.00935134943574667,train
SNG-M,Erlotinib,,,0.0745293031988896,0.04438796639442444,train
TE-9,Erlotinib,,,0.0809057812802422,0.0665716677904129,train
HTK-,Erlotinib,,,,0.027064858004450798,train
HCC827 GR5,Erlotinib,,,,0.35447219014167786,train
GCT,Erlotinib,,,0.0297500574669204,0.019200947135686874,train
Hs 852.T,Erlotinib,,,0.0606494731196107,0.007667062804102898,train
A-498,Erlotinib,,,,0.09254942834377289,train
OVSAHO,Erlotinib,,,0.028593683053534,0.0031649929005652666,train
NCI-H2110,Erlotinib,,,,0.2270071804523468,train
COLO 678,Erlotinib,,,0.157057444982617,0.0901724249124527,train
HCC70,Erlotinib,,,0.0882811990466099,0.07274117320775986,train
SUIT-2,Erlotinib,,,0.12975502270627,0.1472381055355072,train
MOR/CPR,Erlotinib,,,0.0502375665599399,0.04141845554113388,train
KLE,Erlotinib,,,0.0871332926716541,0.05758409947156906,train
Ki-JK,Erlotinib,,,,0.017162786796689034,train
MDA-MB-157,Erlotinib,,,0.0606864748104388,0.06668919324874878,train
MOG-G-CCM,Erlotinib,,,0.0,0.0137245524674654,train
P31/FUJ,Erlotinib,,,0.010075471775247,0.009629378095269203,train
NCI-H1755,Erlotinib,,,,0.011928821913897991,train
KG-1-C,Erlotinib,,,,0.023624153807759285,train
KMS-34,Erlotinib,,,0.0064564022136489,0.03475493937730789,train
NCI-H1792,Erlotinib,,,0.0354342546126242,0.14345556497573853,train
HGC-27,Erlotinib,,,0.019985540124347,0.01654188707470894,train
GDM-1,Erlotinib,,,,0.013684555888175964,train
KATO III,Erlotinib,,,,0.12406069785356522,train
CCF-STTG1,Erlotinib,,,,0.008721825666725636,train
NCI-H2030,Erlotinib,,,0.153550545307145,0.07406791299581528,train
SW837,Erlotinib,,,,0.050525594502687454,train
COV362,Erlotinib,,,,0.039264243096113205,train
SNU-283,Erlotinib,,,,0.16353574395179749,train
MOLT-16,Erlotinib,,,0.0455364466552918,0.032437026500701904,train
EFO-21,Erlotinib,,,0.0443850557242215,0.04500570520758629,train
CHP-126,Erlotinib,,,,0.003749243449419737,train
AsPC-1,Erlotinib,,,0.0560623329164002,0.04602698236703873,train
NCI-H929,Erlotinib,,,,0.01786249503493309,train
OAW28,Erlotinib,,,,0.20957985520362854,train
HMEL,Erlotinib,,,,0.18539057672023773,train
FTC-133,Erlotinib,,,,0.13907165825366974,train
IM95,Erlotinib,,,,0.1409655213356018,train
253J-BV,Erlotinib,,,,0.14204438030719757,train
Caov-3,Erlotinib,,,,0.11750075221061707,train
U266B1,Erlotinib,,,,-0.00013318564742803574,train
ONCO-DG-1,Erlotinib,,,0.142880133312072,0.1756107360124588,train
NCI-H1573,Erlotinib,,,0.154964829446517,0.14495383203029633,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.12588536739349365,train
Detroit 562,Erlotinib,,,0.115415781570674,0.1525028645992279,train
HCC202,Erlotinib,,,,0.20170722901821136,train
Hs 616.T,Erlotinib,,,,0.04275088384747505,train
Pfeiffer,Erlotinib,,,0.128442704007119,0.11889716982841492,train
T84,Erlotinib,,,0.0637663383324368,0.062178052961826324,train
KMS-26,Erlotinib,,,0.011861918754795,0.0027622040361166,train
MM1.S,Erlotinib,,,,0.036233674734830856,train
Ri-1,Erlotinib,,,,0.12475670129060745,train
IA-LM,Erlotinib,,,0.0282183600503712,0.03632611781358719,train
MKN1,Erlotinib,,,,0.03531484305858612,train
NCI-H1650,Erlotinib,,,0.220793735361946,0.2466091513633728,train
CMK-11-5,Erlotinib,,,,0.0502929762005806,train
NCI-H522,Erlotinib,,,0.0403443205178365,0.034310102462768555,train
G-402,Erlotinib,,,0.0035938457120128,-0.0028579796198755503,train
SNU-620,Erlotinib,,,,0.16071227192878723,train
KMS-11,Erlotinib,,,0.0,-0.0005631940439343452,train
HLF,Erlotinib,,,0.0197482195163892,0.018050458282232285,train
KMM-1,Erlotinib,,,0.0068735760231036,0.02172473631799221,train
MDST8,Erlotinib,,,,0.020843759179115295,train
SW480,Erlotinib,,,0.020401477901209,0.011110521852970123,train
PC-3,Erlotinib,,,0.0519043608550188,0.04692037031054497,train
HEC-59,Erlotinib,,,0.0231255701168466,0.08044123649597168,train
GA-10,Erlotinib,,,,0.0017010365845635533,train
EFM-192A,Erlotinib,,,,0.026988539844751358,train
MDA-MB-231,Erlotinib,,,,0.036707960069179535,train
KG-1,Erlotinib,,,0.0368547649599705,0.027588503435254097,train
OUMS-27,Erlotinib,,,,0.008091393858194351,train
DMS 153,Erlotinib,,,,0.05811809375882149,train
KP-N-RT-BM-1,Erlotinib,,,,0.007737958803772926,train
RPMI-8402,Erlotinib,,,0.0186080498394879,0.019794370979070663,train
SEM,Erlotinib,,,,0.055919792503118515,train
SLR26,Erlotinib,,,,0.21927618980407715,train
GMS-10,Erlotinib,,,0.0190540934281724,0.028046421706676483,train
Raji,Erlotinib,,,0.0,0.005148725118488073,train
VMRC-RCW,Erlotinib,,,0.009323782911607,0.007409913931041956,train
DV-90,Erlotinib,,,0.145650783489382,0.13569270074367523,train
TM-31,Erlotinib,,,,0.06960445642471313,train
JURL-MK1,Erlotinib,,,,0.05008164420723915,train
KALS-1,Erlotinib,,,0.0361256866594273,0.02904093824326992,train
LN-319,Erlotinib,,,,0.08546634763479233,train
CH-157MN,Erlotinib,,,,0.04301467537879944,train
NCI-H1339,Erlotinib,,,0.0038380460953742,0.0010412144474685192,train
RERF-GC-1B,Erlotinib,,,0.0858973257371469,0.08134180307388306,train
HCC1419,Erlotinib,,,,0.05474269390106201,train
DBTRG-05MG,Erlotinib,,,0.0295293703939529,0.021859442815184593,train
Hs 274.T,Erlotinib,,,,0.07559676468372345,train
Reh,Erlotinib,,,0.0072748198316787,0.0029199952259659767,train
SNU-1105,Erlotinib,,,,0.00989781878888607,train
SNU-489,Erlotinib,,,,0.044517356902360916,train
MFE-319,Erlotinib,,,0.262087844354188,0.3034837543964386,train
NCI-H441,Erlotinib,,,0.0361416593151064,0.03991162031888962,train
OV-90,Erlotinib,,,0.0,0.01495027169585228,train
B-CPAP,Erlotinib,,,0.0266103192388467,0.02068404294550419,train
HuH-6 Clone 5,Erlotinib,,,,0.10270623862743378,train
SLR25,Erlotinib,,,,0.11253432929515839,train
C32 [Human melanoma],Erlotinib,,,0.0396979745149343,0.03301648050546646,train
HCC1438,Erlotinib,,,,0.14551424980163574,train
KNS-60,Erlotinib,,,0.0080715130241218,0.005279265809804201,train
T3M-10,Erlotinib,,,0.0519343810386682,0.04349714145064354,train
TEN,Erlotinib,,,0.0,0.003068271791562438,train
CAL-85-1,Erlotinib,,,0.285999109686882,0.28621095418930054,train
OVMANA,Erlotinib,,,0.0221955939297399,0.018643729388713837,train
SW1783,Erlotinib,,,,0.014966603368520737,train
NCI-H2452,Erlotinib,,,0.0782546305703664,0.0065881190821528435,train
TC-32,Erlotinib,,,,0.0610947385430336,train
ECC12,Erlotinib,,,,0.020504649728536606,train
DK-MG,Erlotinib,,,0.0273288019534314,0.026324087753891945,train
NALM-6,Erlotinib,,,,0.0648621916770935,train
OCI-Ly10,Erlotinib,,,0.0721484574952942,0.06599295884370804,train
VMRC-RCZ,Erlotinib,,,0.0380711745358432,0.16630350053310394,train
NCI-H1092,Erlotinib,,,0.0,-0.008899969980120659,train
NCI-H1155,Erlotinib,,,0.0644206799838463,0.06062536686658859,train
PE/CA-PJ34 (clone C12),Erlotinib,,,,0.19394207000732422,train
MHH-NB-11,Erlotinib,,,,0.01596168801188469,train
Granta-519,Erlotinib,,,0.0327026256903496,0.030036889016628265,train
